Orthogroup	s_cerevisiae_proteins	s_mikatae_proteins
OG0000897	rna963	Smik_4.258
OG0000898	rna5396	Smik_15.151
OG0000899	rna1883	Smik_7.315
OG0000900	rna5391	Smik_15.145
OG0000901	rna1881	Smik_7.313
OG0000902	rna5389	Smik_15.143
OG0000903	rna5388	Smik_15.142
OG0000904	rna609	Smik_3.100
OG0000905	rna617	Smik_3.114
OG0000906	rna1562	Smik_5.95
OG0000907	rna1561	Smik_5.93
OG0000908	rna627	Smik_3.126
OG0000909	rna1556	Smik_5.88
OG0000910	rna623	Smik_3.121
OG0000911	rna5002	Smik_14.178
OG0000912	rna5000	Smik_14.176
OG0000913	rna5013	Smik_14.187
OG0000914	rna5015	Smik_14.189
OG0000915	rna5016	Smik_14.190
OG0000916	rna5017	Smik_14.191
OG0000917	rna5018	Smik_14.192
OG0000918	rna3273	Smik_10.287
OG0000919	rna2083	Smik_7.152
OG0000920	rna1610	Smik_5.152
OG0000921	rna1380	Smik_4.700
OG0000922	rna1383	Smik_4.703
OG0000923	rna4455	Smik_13.141
OG0000924	rna1384	Smik_4.704
OG0000925	rna1385	Smik_4.705
OG0000926	rna4451	Smik_13.137
OG0000927	rna1386	Smik_4.706
OG0000928	rna4450	Smik_13.136
OG0000929	rna1387	Smik_4.707
OG0000931	rna4444	Smik_13.130
OG0000932	rna1399	Smik_4.725
OG0000933	rna1400	Smik_4.726
OG0000934	rna1403	Smik_4.729
OG0000935	rna4435	Smik_13.121
OG0000936	rna1405	Smik_4.733
OG0000937	rna1406	Smik_4.734
OG0000938	rna1407	Smik_4.735
OG0000939	rna2068	Smik_7.136
OG0000940	rna5875	Smik_6.422
OG0000941	rna5877	Smik_6.420
OG0000942	rna5878	Smik_6.419
OG0000943	rna5879	Smik_6.418
OG0000944	rna2072	Smik_7.140
OG0000945	rna2073	Smik_7.141
OG0000946	rna2074	Smik_7.142
OG0000948	rna5882	Smik_6.415
OG0000949	rna5883	Smik_6.414
OG0000950	rna2138	Smik_7.215
OG0000951	rna5886	Smik_6.411
OG0000952	rna3465	Smik_11.41
OG0000953	rna4277	Smik_12.504
OG0000954	rna3470	Smik_11.46
OG0000955	rna3473	Smik_11.48
OG0000956	rna4272	Smik_12.498
OG0000957	rna3474	Smik_11.49
OG0000958	rna4268	Smik_12.496
OG0000959	rna4267	Smik_12.495
OG0000960	rna868	Smik_4.159
OG0000961	rna4259	Smik_12.487
OG0000962	rna874	Smik_4.164
OG0000963	rna5735	Smik_15.501
OG0000964	rna4257	Smik_12.485
OG0000965	rna4256	Smik_12.484
OG0000966	rna4255	Smik_12.483
OG0000967	rna6278	Smik_16.447
OG0000968	rna6280	Smik_16.449
OG0000969	rna6281	Smik_16.450
OG0000970	rna6284	Smik_16.453
OG0000971	rna6285	Smik_16.454
OG0000972	rna6286	Smik_16.455
OG0000973	rna2792	Smik_8.294
OG0000974	rna3412	Smik_10.438
OG0000975	rna3410	Smik_10.436
OG0000976	rna2789	Smik_8.291
OG0000977	rna3409	Smik_10.435
OG0000978	rna3408	Smik_10.434
OG0000979	rna3406	Smik_10.432
OG0000980	rna2788	Smik_8.290
OG0000981	rna3405	Smik_10.431
OG0000982	rna3404	Smik_10.430
OG0000983	rna3400	Smik_10.426
OG0000984	rna3399	Smik_10.425
OG0000985	rna2781	Smik_8.283
OG0000986	rna2780	Smik_8.282
OG0000987	rna3398	Smik_10.424
OG0000988	rna3028	Smik_9.233
OG0000989	rna3396	Smik_10.422
OG0000991	rna4379	Smik_13.59
OG0000992	rna3392	Smik_10.418
OG0000993	rna4307	Smik_12.544
OG0000994	rna4390	Smik_13.74
OG0000995	rna4391	Smik_13.75
OG0000997	rna4399	Smik_13.83
OG0000998	rna4300	Smik_12.536
OG0000999	rna4401	Smik_13.85
OG0001000	rna4296	Smik_12.531
OG0001001	rna4295	Smik_12.530
OG0001002	rna5566	Smik_15.331
OG0001003	rna1361	Smik_4.677
OG0001004	rna4206	Smik_12.436
OG0001005	rna2245	Smik_6.115
OG0001006	rna2238	Smik_6.109
OG0001007	rna4196	Smik_12.426
OG0001008	rna2233	Smik_6.97
OG0001009	rna4194	Smik_12.424
OG0001010	rna4560	Smik_13.263
OG0001011	rna3455	Smik_11.25
OG0001012	rna3325	Smik_10.348
OG0001013	rna958	Smik_4.253
OG0001014	rna257	Smik_2.157
OG0001015	rna956	Smik_4.251
OG0001016	rna952	Smik_4.246
OG0001017	rna250	Smik_2.152
OG0001018	rna247	Smik_2.148
OG0001019	rna3486	Smik_11.61
OG0001020	rna3488	Smik_11.64
OG0001021	rna3102	Smik_10.79
OG0001022	rna3072	Smik_10.45
OG0001023	rna635	Smik_3.135
OG0001024	rna5312	Smik_15.59
OG0001025	rna1437	Smik_4.764
OG0001026	rna4231	Smik_12.459
OG0001027	rna2272	Smik_6.146
OG0001028	rna2271	Smik_6.145
OG0001029	rna5706	Smik_15.472
OG0001030	rna4719	Smik_13.437
OG0001031	rna4718	Smik_13.436
OG0001032	rna4717	Smik_13.435
OG0001033	rna6149	Smik_16.303
OG0001034	rna6148	Smik_16.302
OG0001035	rna6147	Smik_16.301
OG0001036	rna6144	Smik_16.298
OG0001037	rna4753	Smik_13.472
OG0001038	rna5356	Smik_15.113
OG0001039	rna345	Smik_2.263
OG0001040	rna6167	Smik_16.325
OG0001041	rna6164	Smik_16.322
OG0001042	rna6160	Smik_16.317
OG0001043	rna338	Smik_2.256
OG0001044	rna336	Smik_2.254
OG0001045	rna334	Smik_2.251
OG0001046	rna6155	Smik_16.310
OG0001047	rna333	Smik_2.250
OG0001048	rna6152	Smik_16.307
OG0001049	rna384	Smik_2.304
OG0001050	rna382	Smik_2.302
OG0001051	rna375	Smik_2.295
OG0001052	rna2653	Smik_8.148
OG0001053	rna1271	Smik_4.579
OG0001054	rna4685	Smik_13.404
OG0001055	rna4686	Smik_13.405
OG0001056	rna5839	Smik_6.458
OG0001057	rna5914	Smik_6.375
OG0001058	rna6258	Smik_16.422
OG0001059	rna4314	Smik_12.552
OG0001060	rna6261	Smik_16.425
OG0001061	rna6262	Smik_16.426
OG0001062	rna6264	Smik_16.428
OG0001063	rna6269	Smik_16.438
OG0001064	rna6232	Smik_16.395
OG0001065	rna2336	Smik_6.215
OG0001066	rna6230	Smik_16.390
OG0001067	rna6229	Smik_16.388
OG0001068	rna6227	Smik_16.386
OG0001069	rna6222	Smik_16.383
OG0001070	rna6221	Smik_16.382
OG0001071	rna2329	Smik_6.207
OG0001072	rna6218	Smik_16.379
OG0001073	rna6216	Smik_16.377
OG0001074	rna6215	Smik_16.376
OG0001075	rna6212	Smik_16.373
OG0001076	rna2326	Smik_6.204
OG0001077	rna2325	Smik_6.203
OG0001078	rna2324	Smik_6.202
OG0001079	rna475	Smik_2.394
OG0001080	rna1595	Smik_5.137
OG0001081	rna3004	Smik_9.209
OG0001082	rna1591	Smik_5.132
OG0001083	rna1590	Smik_5.131
OG0001084	rna3003	Smik_9.208
OG0001085	rna5384	Smik_15.138
OG0001086	rna322	Smik_2.239
OG0001087	rna320	Smik_2.237
OG0001089	rna6140	Smik_16.293
OG0001090	rna6139	Smik_16.292
OG0001091	rna6138	Smik_16.291
OG0001092	rna6137	Smik_16.290
OG0001093	rna312	Smik_2.228
OG0001094	rna178	Smik_2.82
OG0001095	rna3518	Smik_11.102
OG0001096	rna4586	Smik_13.292
OG0001097	rna3531	Smik_11.118
OG0001098	rna3532	Smik_11.119
OG0001099	rna4580	Smik_13.287
OG0001100	rna5710	Smik_15.475
OG0001101	rna4722	Smik_13.439
OG0001102	rna4221	Smik_12.450
OG0001103	rna4219	Smik_12.448
OG0001104	rna4217	Smik_12.446
OG0001105	rna3658	Smik_11.257
OG0001106	rna3657	Smik_11.256
OG0001107	rna3654	Smik_11.253
OG0001108	rna3648	Smik_11.248
OG0001109	rna2566	Smik_8.47
OG0001110	rna2564	Smik_8.45
OG0001111	rna3646	Smik_11.246
OG0001112	rna3645	Smik_11.245
OG0001113	rna3560	Smik_11.150
OG0001114	rna2557	Smik_8.33
OG0001115	rna4558	Smik_13.261
OG0001116	rna3327	Smik_10.350
OG0001117	rna3329	Smik_10.352
OG0001118	rna3332	Smik_10.355
OG0001119	rna3335	Smik_10.358
OG0001120	rna3336	Smik_10.359
OG0001121	rna3337	Smik_10.360
OG0001122	rna3338	Smik_10.362
OG0001123	rna3448	Smik_11.18
OG0001124	rna3339	Smik_10.363
OG0001125	rna3445	Smik_11.14
OG0001126	rna3444	Smik_11.13
OG0001127	rna3341	Smik_10.365
OG0001128	rna3342	Smik_10.366
OG0001129	rna3442	Smik_11.12
OG0001130	rna3440	Smik_11.10
OG0001132	rna535	Smik_3.14
OG0001133	rna536	Smik_3.15
OG0001134	rna544	Smik_3.21
OG0001135	rna545	Smik_3.22
OG0001136	rna1479	Smik_4.810
OG0001137	rna1481	Smik_4.812
OG0001138	rna1476	Smik_4.808
OG0001139	rna552	Smik_3.30
OG0001141	rna557	Smik_3.37
OG0001142	rna558	Smik_3.38
OG0001143	rna1460	Smik_4.792
OG0001144	rna4037	Smik_12.239
OG0001145	rna4041	Smik_12.243
OG0001146	rna4044	Smik_12.246
OG0001147	rna4882	Smik_14.59
OG0001148	rna4046	Smik_12.248
OG0001149	rna4885	Smik_14.61
OG0001150	rna647	Smik_3.148
OG0001151	rna4886	Smik_14.62
OG0001152	rna4887	Smik_14.63
OG0001153	rna5569	Smik_15.334
OG0001154	rna4888	Smik_14.64
OG0001155	rna4889	Smik_14.65
OG0001156	rna4894	Smik_14.69
OG0001157	rna2256	Smik_6.131
OG0001158	rna2257	Smik_6.132
OG0001159	rna2258	Smik_6.133
OG0001160	rna2064	Smik_7.132
OG0001161	rna2075	Smik_7.143
OG0001162	rna4897	Smik_14.72
OG0001163	rna4898	Smik_14.73
OG0001164	rna4899	Smik_14.74
OG0001165	rna2479	Smik_16.52
OG0001166	rna4904	Smik_14.79
OG0001167	rna4907	Smik_14.82
OG0001168	rna4908	Smik_14.83
OG0001169	rna4909	Smik_14.84
OG0001170	rna4910	Smik_14.85
OG0001171	rna4912	Smik_14.87
OG0001172	rna4913	Smik_14.88
OG0001173	rna4915	Smik_14.90
OG0001174	rna4916	Smik_14.91
OG0001175	rna3058	Smik_10.28
OG0001176	rna3059	Smik_10.29
OG0001177	rna3061	Smik_10.31
OG0001178	rna639	Smik_3.139
OG0001179	rna638	Smik_3.138
OG0001180	rna3066	Smik_10.39
OG0001181	rna1436	Smik_4.763
OG0001182	rna5313	Smik_15.60
OG0001183	rna1434	Smik_4.761
OG0001184	rna5315	Smik_15.62
OG0001185	rna5316	Smik_15.63
OG0001186	rna5346	Smik_15.96
OG0001187	rna5347	Smik_15.97
OG0001188	rna914	Smik_4.209
OG0001189	rna5348	Smik_15.98
OG0001190	rna5350	Smik_15.101
OG0001191	rna81	Smik_1.78
OG0001192	rna80	Smik_1.77
OG0001193	rna235	Smik_2.136
OG0001194	rna924	Smik_4.219
OG0001195	rna2285	Smik_6.160
OG0001196	rna5335	Smik_15.85
OG0001197	rna4134	Smik_12.355
OG0001198	rna4136	Smik_12.357
OG0001199	rna4138	Smik_12.360
OG0001200	rna4140	Smik_12.362
OG0001201	rna5596	Smik_15.366
OG0001202	rna5599	Smik_15.369
OG0001203	rna4146	Smik_12.367
OG0001204	rna618	Smik_3.115
OG0001205	rna436	Smik_2.356
OG0001206	rna2148	Smik_7.225
OG0001207	rna440	Smik_2.360
OG0001208	rna4422	Smik_13.106
OG0001209	rna5403	Smik_15.157
OG0001210	rna5404	Smik_15.158
OG0001211	rna4472	Smik_13.165
OG0001212	rna5406	Smik_15.160
OG0001213	rna4471	Smik_13.164
OG0001214	rna5407	Smik_15.161
OG0001215	rna5408	Smik_15.162
OG0001216	rna4469	Smik_13.162
OG0001217	rna5410	Smik_15.164
OG0001218	rna4467	Smik_13.159
OG0001219	rna5411	Smik_15.165
OG0001220	rna4781	Smik_13.500
OG0001221	rna4784	Smik_13.503
OG0001222	rna4338	Smik_13.14
OG0001223	rna4337	Smik_13.13
OG0001224	rna2776	Smik_8.278
OG0001225	rna5561	Smik_15.326
OG0001226	rna5563	Smik_15.328
OG0001227	rna1351	Smik_4.667
OG0001228	rna1352	Smik_4.668
OG0001229	rna5564	Smik_15.329
OG0001230	rna1355	Smik_4.671
OG0001231	rna1360	Smik_4.676
OG0001232	rna5701	Smik_15.467
OG0001233	rna5697	Smik_15.463
OG0001234	rna5696	Smik_15.462
OG0001235	rna5693	Smik_15.459
OG0001236	rna4706	Smik_13.424
OG0001237	rna5689	Smik_15.457
OG0001238	rna5688	Smik_15.456
OG0001239	rna5686	Smik_15.454
OG0001240	rna5684	Smik_15.453
OG0001241	rna4698	Smik_13.416
OG0001242	rna5683	Smik_15.452
OG0001243	rna1670	Smik_5.217
OG0001244	rna1666	Smik_5.211
OG0001245	rna1663	Smik_5.208
OG0001246	rna1662	Smik_5.207
OG0001247	rna2924	Smik_9.119
OG0001248	rna2927	Smik_9.122
OG0001249	rna2928	Smik_9.123
OG0001250	rna2929	Smik_9.124
OG0001251	rna1659	Smik_5.203
OG0001252	rna1658	Smik_5.202
OG0001253	rna1650	Smik_5.192
OG0001254	rna2942	Smik_9.141
OG0001255	rna2943	Smik_9.142
OG0001256	rna5192	Smik_14.363
OG0001257	rna5190	Smik_14.361
OG0001258	rna669	Smik_3.172
OG0001259	rna5187	Smik_14.358
OG0001260	rna666	Smik_3.169
OG0001261	rna664	Smik_3.167
OG0001262	rna662	Smik_3.165
OG0001263	rna660	Smik_3.160
OG0001264	rna655	Smik_3.155
OG0001265	rna5180	Smik_14.351
OG0001266	rna653	Smik_3.153
OG0001267	rna5179	Smik_14.350
OG0001268	rna2916	Smik_9.110
OG0001269	rna1676	Smik_5.221
OG0001270	rna2917	Smik_9.111
OG0001271	rna5676	Smik_15.445
OG0001272	rna5675	Smik_15.444
OG0001273	rna5920	Smik_6.369
OG0001274	rna5674	Smik_15.443
OG0001275	rna5673	Smik_15.442
OG0001276	rna5671	Smik_15.440
OG0001277	rna5922	Smik_6.367
OG0001278	rna5923	Smik_6.366
OG0001279	rna5668	Smik_15.437
OG0001280	rna5925	Smik_6.364
OG0001281	rna5665	Smik_15.434
OG0001282	rna5664	Smik_15.433
OG0001283	rna1253	Smik_4.555
OG0001284	rna2639	Smik_8.130
OG0001285	rna2638	Smik_8.129
OG0001286	rna1248	Smik_4.550
OG0001288	rna1246	Smik_4.548
OG0001289	rna1245	Smik_4.547
OG0001290	rna1244	Smik_4.546
OG0001291	rna2611	Smik_8.103
OG0001292	rna2613	Smik_8.105
OG0001293	rna1240	Smik_4.542
OG0001294	rna2614	Smik_8.106
OG0001295	rna2615	Smik_8.107
OG0001296	rna2617	Smik_8.109
OG0001297	rna1239	Smik_4.541
OG0001298	rna1238	Smik_4.540
OG0001299	rna1237	Smik_4.538
OG0001300	rna1231	Smik_4.532
OG0001301	rna1232	Smik_4.533
OG0001302	rna3843	Smik_12.78
OG0001303	rna3232	Smik_10.237
OG0001304	rna1228	Smik_4.529
OG0001305	rna2621, rna2620	Smik_8.112
OG0001306	rna5325	Smik_15.75
OG0001307	rna363	Smik_2.282
OG0001308	rna362	Smik_2.281
OG0001309	rna5071	Smik_14.245
OG0001310	rna5070	Smik_14.244
OG0001311	rna5069	Smik_14.243
OG0001312	rna5068	Smik_14.242
OG0001313	rna2847	Smik_9.27
OG0001314	rna2182	Smik_7.268
OG0001315	rna1759	Smik_5.323
OG0001316	rna1026	Smik_4.319
OG0001317	rna1029	Smik_4.322
OG0001318	rna1763	Smik_5.329
OG0001319	rna1033	Smik_4.326
OG0001320	rna2436	Smik_16.94
OG0001321	rna4881	Smik_14.58
OG0001322	rna1445	Smik_4.773
OG0001323	rna1444	Smik_4.772
OG0001324	rna5306	Smik_15.55
OG0001325	rna3604	Smik_11.199
OG0001326	rna4507	Smik_13.202
OG0001327	rna3601	Smik_11.196
OG0001328	rna3598	Smik_11.193
OG0001329	rna3597	Smik_11.192
OG0001330	rna4504	Smik_13.198
OG0001331	rna3596	Smik_11.191
OG0001332	rna4503	Smik_13.197
OG0001333	rna3594	Smik_11.189
OG0001334	rna5282	Smik_15.29
OG0001335	rna27	Smik_1.22
OG0001336	rna5770	Smik_15.540
OG0001337	rna5767	Smik_15.537
OG0001338	rna5048	Smik_14.222
OG0001339	rna5049	Smik_14.223
OG0001340	rna5518	Smik_15.282
OG0001341	rna5055	Smik_14.228
OG0001342	rna5511	Smik_15.275
OG0001343	rna5509	Smik_15.273
OG0001344	rna5059	Smik_14.233
OG0001345	rna5507	Smik_15.271
OG0001346	rna5506	Smik_15.270
OG0001347	rna5064	Smik_14.238
OG0001348	rna5501	Smik_15.262
OG0001349	rna5067	Smik_14.241
OG0001350	rna4799	Smik_13.519
OG0001351	rna4805	Smik_13.525
OG0001352	rna3535	Smik_11.125
OG0001353	rna3534	Smik_11.124
OG0001354	rna4741	Smik_13.460
OG0001355	rna5734	Smik_15.500
OG0001356	rna5359	Smik_15.115
OG0001358	rna300	Smik_2.212
OG0001359	rna1261	Smik_4.566
OG0001360	rna3320	Smik_10.337
OG0001361	rna2645	Smik_8.136
OG0001362	rna1259	Smik_4.561
OG0001363	rna2644	Smik_8.135
OG0001364	rna2643	Smik_8.134
OG0001365	rna1258	Smik_4.560
OG0001366	rna2642	Smik_8.133
OG0001367	rna1256	Smik_4.558
OG0001368	rna1410	Smik_4.738
OG0001369	rna1413	Smik_4.741
OG0001370	rna1177	Smik_4.477
OG0001371	rna1179	Smik_4.479
OG0001372	rna746	Smik_4.35
OG0001373	rna745	Smik_4.34
OG0001374	rna1181	Smik_4.481
OG0001375	rna744	Smik_4.33
OG0001376	rna1182	Smik_4.482
OG0001377	rna1183	Smik_4.483
OG0001378	rna742	Smik_4.31
OG0001379	rna1188	Smik_4.490
OG0001380	rna1189	Smik_4.491
OG0001381	rna1190	Smik_4.492
OG0001382	rna2126	Smik_7.205
OG0001383	rna6182	Smik_16.337
OG0001384	rna6179	Smik_16.334
OG0001385	rna6178	Smik_16.333
OG0001386	rna6174	Smik_16.332
OG0001387	rna357	Smik_2.276
OG0001388	rna355	Smik_2.273
OG0001389	rna6173	Smik_16.331
OG0001390	rna5857	Smik_6.440
OG0001391	rna5859	Smik_6.438
OG0001392	rna5864	Smik_6.433
OG0001393	rna5865	Smik_6.432
OG0001394	rna5867	Smik_6.430
OG0001395	rna4068	Smik_12.270
OG0001396	rna799	Smik_4.89
OG0001397	rna797	Smik_4.87
OG0001398	rna796	Smik_4.86
OG0001399	rna795	Smik_4.85
OG0001400	rna794	Smik_4.84
OG0001402	rna789	Smik_4.79
OG0001403	rna787	Smik_4.77
OG0001404	rna4065	Smik_12.267
OG0001405	rna4064	Smik_12.266
OG0001406	rna2655	Smik_8.150
OG0001407	rna4373	Smik_13.51
OG0001408	rna4371	Smik_13.49
OG0001409	rna2181	Smik_7.267
OG0001410	rna2026	Smik_7.92
OG0001411	rna4161	Smik_12.388
OG0001412	rna2034	Smik_7.100
OG0001413	rna2549	Smik_8.26
OG0001414	rna6110	Smik_16.260
OG0001415	rna1771	Smik_5.337
OG0001416	rna1773	Smik_5.339
OG0001417	rna1774	Smik_5.340
OG0001418	rna1042	Smik_4.338
OG0001419	rna1777	Smik_5.343
OG0001420	rna1778	Smik_5.344
OG0001421	rna1779	Smik_5.345
OG0001422	rna2216	Smik_7.301
OG0001423	rna2215	Smik_7.300
OG0001424	rna2211	Smik_7.296
OG0001425	rna2210	Smik_7.295
OG0001426	rna2209	Smik_7.294
OG0001427	rna4178	Smik_12.407
OG0001428	rna2206	Smik_7.291
OG0001429	rna4175	Smik_12.404
OG0001430	rna4174	Smik_12.403
OG0001431	rna4177	Smik_12.406
OG0001432	rna69	Smik_1.66
OG0001433	rna687	Smik_3.190
OG0001434	rna688	Smik_3.191
OG0001435	rna1122	Smik_4.425
OG0001436	rna5209	Smik_14.380
OG0001437	rna5212	Smik_14.382
OG0001438	rna5215	Smik_14.384
OG0001439	rna3052	Smik_10.21
OG0001440	rna5825	Smik_6.474
OG0001441	rna5823	Smik_6.476
OG0001442	rna5829	Smik_6.470
OG0001443	rna5421	Smik_15.175
OG0001444	rna5417	Smik_15.171
OG0001445	rna5416	Smik_15.170
OG0001446	rna4779	Smik_13.496
OG0001447	rna4777	Smik_13.494
OG0001448	rna4774	Smik_13.491
OG0001449	rna4773	Smik_13.490
OG0001450	rna4767	Smik_13.485
OG0001451	rna4770	Smik_13.487
OG0001452	rna4348	Smik_13.24
OG0001453	rna4346	Smik_13.22
OG0001454	rna4353	Smik_13.29
OG0001455	rna4354	Smik_13.30
OG0001456	rna4763	Smik_13.482
OG0001457	rna6107	Smik_16.256
OG0001458	rna6109	Smik_16.259
OG0001459	rna1007	Smik_4.300
OG0001460	rna1006	Smik_4.299
OG0001461	rna3673	Smik_11.274
OG0001462	rna3178	Smik_10.161
OG0001463	rna3672	Smik_11.273
OG0001464	rna3179	Smik_10.162
OG0001465	rna5702	Smik_15.468
OG0001466	rna5565	Smik_15.330
OG0001467	rna4290	Smik_12.525
OG0001468	rna4289	Smik_12.524
OG0001469	rna4407	Smik_13.91
OG0001470	rna4287	Smik_12.522
OG0001471	rna3457	Smik_11.28
OG0001472	rna3458	Smik_11.29
OG0001473	rna4285	Smik_12.514
OG0001474	rna3459	Smik_11.30
OG0001475	rna3460	Smik_11.31
OG0001476	rna4281	Smik_12.510
OG0001477	rna3462	Smik_11.33
OG0001478	rna4278	Smik_12.505
OG0001479	rna4279	Smik_12.506
OG0001480	rna2135	Smik_7.212
OG0001481	rna2134	Smik_7.211
OG0001482	rna2132	Smik_7.209
OG0001483	rna5892	Smik_6.404
OG0001484	rna256	Smik_2.156
OG0001485	rna896	Smik_4.191
OG0001486	rna2280	Smik_6.155
OG0001487	rna2281	Smik_6.156
OG0001488	rna4158	Smik_12.383
OG0001489	rna4171	Smik_12.400
OG0001490	rna3804	Smik_12.41
OG0001491	rna2224	Smik_7.308
OG0001492	rna3503	Smik_11.87
OG0001493	rna3502	Smik_11.86
OG0001494	rna5163	Smik_14.334
OG0001495	rna4034	Smik_12.236
OG0001496	rna5153	Smik_14.322
OG0001497	rna4035	Smik_12.237
OG0001498	rna580	Smik_3.67
OG0001499	rna5156	Smik_14.325
OG0001500	rna581	Smik_3.68
OG0001501	rna582	Smik_3.69
OG0001502	rna2020	Smik_7.86
OG0001503	rna3890	Smik_12.122
OG0001504	rna1834	Smik_6.45
OG0001505	rna1831	Smik_6.42
OG0001506	rna1828	Smik_6.40
OG0001507	rna3898	Smik_12.130
OG0001508	rna3900	Smik_12.131
OG0001509	rna1822	Smik_6.32
OG0001510	rna3903	Smik_12.134
OG0001511	rna1821	Smik_6.31
OG0001512	rna1819	Smik_6.29
OG0001513	rna3542	Smik_11.133
OG0001514	rna5937	Smik_6.352
OG0001515	rna5936	Smik_6.353
OG0001516	rna5935	Smik_6.354
OG0001517	rna5932	Smik_6.357
OG0001518	rna5661	Smik_15.430
OG0001519	rna1409	Smik_4.737
OG0001520	rna4431	Smik_13.116
OG0001521	rna5782	Smik_15.552
OG0001522	rna3166	Smik_10.148
OG0001523	rna5779	Smik_15.549
OG0001524	rna3188	Smik_10.169
OG0001525	rna3189	Smik_10.170
OG0001526	rna5967	Smik_6.324
OG0001527	rna5966	Smik_6.325
OG0001528	rna5628	Smik_15.397
OG0001529	rna5964	Smik_6.327
OG0001530	rna5629	Smik_15.398
OG0001531	rna5633	Smik_15.402
OG0001532	rna5634	Smik_15.403
OG0001533	rna5640	Smik_15.408
OG0001534	rna5641	Smik_15.409
OG0001535	rna5955	Smik_6.336
OG0001536	rna5648	Smik_15.416
OG0001537	rna2822	Smik_9.3
OG0001538	rna1860	Smik_6.71
OG0001539	rna1852	Smik_6.63
OG0001540	rna1851	Smik_6.62
OG0001541	rna2722	Smik_8.221
OG0001542	rna4991	Smik_14.167
OG0001543	rna4988	Smik_14.164
OG0001544	rna4983	Smik_14.159
OG0001545	rna2728	Smik_8.226
OG0001546	rna4982	Smik_14.158
OG0001547	rna4979	Smik_14.155
OG0001548	rna4977	Smik_14.153
OG0001549	rna738	Smik_4.27
OG0001550	rna4976	Smik_14.152
OG0001551	rna4974	Smik_14.149
OG0001552	rna4973	Smik_14.148
OG0001553	rna737	Smik_4.26
OG0001554	rna4970	Smik_14.145
OG0001555	rna735	Smik_4.24
OG0001556	rna734	Smik_4.23
OG0001557	rna2777	Smik_8.279
OG0001558	rna4672	Smik_13.390
OG0001559	rna5855	Smik_6.442
OG0001560	rna6172	Smik_16.330
OG0001561	rna352	Smik_2.270
OG0001562	rna351	Smik_2.269
OG0001563	rna349	Smik_2.267
OG0001565	rna4132	Smik_12.353
OG0001566	rna3256	Smik_10.265
OG0001567	rna3237	Smik_10.242
OG0001568	rna3236	Smik_10.241
OG0001569	rna3258	Smik_10.268
OG0001570	rna3234	Smik_10.239
OG0001571	rna3279	Smik_10.293
OG0001572	rna3829	Smik_12.64
OG0001573	rna3266	Smik_10.280
OG0001574	rna3828	Smik_12.63
OG0001575	rna4649	Smik_13.370
OG0001576	rna4650	Smik_13.371
OG0001577	rna842	Smik_4.132
OG0001578	rna841	Smik_4.131
OG0001579	rna840	Smik_4.130
OG0001580	rna4655	Smik_13.376
OG0001581	rna4362	Smik_13.37
OG0001582	rna4363	Smik_13.38
OG0001583	rna4364	Smik_13.39
OG0001584	rna4365	Smik_13.40
OG0001585	rna4367	Smik_13.42
OG0001586	rna4331	Smik_13.6
OG0001587	rna4332	Smik_13.7
OG0001588	rna4312	Smik_12.550
OG0001589	rna1605	Smik_5.147
OG0001590	rna3389	Smik_10.415
OG0001591	rna3388	Smik_10.414
OG0001592	rna1603	Smik_5.145
OG0001593	rna3386	Smik_10.412
OG0001594	rna3385	Smik_10.411
OG0001595	rna1602	Smik_5.144
OG0001596	rna1601	Smik_5.143
OG0001597	rna3384	Smik_10.410
OG0001598	rna3372	Smik_10.397
OG0001599	rna1600	Smik_5.142
OG0001600	rna4480	Smik_13.176
OG0001601	rna4488	Smik_13.178
OG0001602	rna1936	Smik_7.372
OG0001603	rna1935	Smik_7.371
OG0001604	rna1954	Smik_7.11
OG0001605	rna1952	Smik_7.9
OG0001606	rna1934	Smik_7.370
OG0001607	rna1957	Smik_7.13
OG0001608	rna6046	Smik_16.190
OG0001609	rna6047	Smik_16.191
OG0001610	rna6048	Smik_16.192
OG0001611	rna6049	Smik_16.193
OG0001612	rna6050	Smik_16.194
OG0001613	rna6051	Smik_16.195
OG0001614	rna6061	Smik_16.205
OG0001615	rna6062	Smik_16.206
OG0001616	rna6063	Smik_16.207
OG0001617	rna1194	Smik_4.495
OG0001618	rna1191	Smik_4.493
OG0001619	rna6067	Smik_16.212
OG0001620	rna6068	Smik_16.213
OG0001621	rna4055	Smik_12.257
OG0001622	rna4057	Smik_12.259
OG0001623	rna4058	Smik_12.260
OG0001624	rna781	Smik_4.71
OG0001625	rna782	Smik_4.72
OG0001626	rna783	Smik_4.73
OG0001627	rna784	Smik_4.74
OG0001628	rna4680	Smik_13.398
OG0001629	rna5846	Smik_6.451
OG0001630	rna5849	Smik_6.448
OG0001631	rna5851	Smik_6.446
OG0001632	rna2656	Smik_8.151
OG0001633	rna2658	Smik_8.153
OG0001634	rna1276	Smik_4.584
OG0001635	rna1277	Smik_4.585
OG0001636	rna1278	Smik_4.586
OG0001637	rna2661	Smik_8.156
OG0001638	rna2999	Smik_9.204
OG0001639	rna2998	Smik_9.203
OG0001640	rna1582	Smik_5.121
OG0001641	rna1581	Smik_5.120
OG0001642	rna6171	Smik_16.329
OG0001643	rna1580	Smik_5.119
OG0001644	rna1577	Smik_5.116
OG0001645	rna2994	Smik_9.199
OG0001646	rna1574	Smik_5.111
