Orthogroup	s_cerevisiae_proteins	l_waltii_v3_proteins
OG0000904	rna609	Kwal_34.16201
OG0000905	rna617	Kwal_34.16159
OG0000906	rna1562	Kwal_YGOB_34.16151
OG0000907	rna1561	Kwal_34.16145
OG0000908	rna627	Kwal_34.16142
OG0000909	rna1556	Kwal_34.16121
OG0000910	rna623	Kwal_34.16119
OG0000911	rna5002	Kwal_33.14652
OG0000912	rna5000	Kwal_33.14656
OG0000913	rna5013	Kwal_33.14659
OG0000914	rna5015	Kwal_33.14671
OG0000915	rna5016	Kwal_33.14675
OG0000916	rna5017	Kwal_33.14683
OG0000917	rna5018	Kwal_33.14687
OG0000918	rna3273	Kwal_33.15425
OG0000919	rna2083	Kwal_14.1724
OG0000920	rna1610	Kwal_47.19051
OG0000921	rna1380	Kwal_47.18601
OG0000922	rna1383	Kwal_30.12890
OG0000923	rna4455	Kwal_47.18587
OG0000924	rna1384	Kwal_47.18577
OG0000925	rna1385	Kwal_47.18572
OG0000926	rna4451	Kwal_47.18564
OG0000927	rna1386	Kwal_47.18555
OG0000928	rna4450	Kwal_47.18547
OG0000929	rna1387	Kwal_47.18543
OG0000931	rna4444	Kwal_47.18509
OG0000932	rna1399	Kwal_47.18470
OG0000933	rna1400	Kwal_47.18464
OG0000934	rna1403	Kwal_47.18442
OG0000935	rna4435	Kwal_47.18431
OG0000936	rna1405	Kwal_47.18430
OG0000937	rna1406	Kwal_47.18417
OG0000938	rna1407	Kwal_47.18389
OG0000939	rna2068	Kwal_56.24158
OG0000940	rna5875	Kwal_YGOB_56.24139
OG0000941	rna5877	Kwal_56.24132
OG0000942	rna5878	Kwal_56.24127
OG0000943	rna5879	Kwal_56.24125
OG0000944	rna2072	Kwal_56.24115
OG0000945	rna2073	Kwal_56.24113
OG0000946	rna2074	Kwal_56.24111
OG0000948	rna5882	Kwal_56.24098
OG0000949	rna5883	Kwal_56.24091
OG0000950	rna2138	Kwal_56.24078
OG0000951	rna5886	Kwal_56.24071
OG0000952	rna3465	Kwal_23.4033
OG0000953	rna4277	Kwal_23.4035
OG0000954	rna3470	Kwal_23.4076
OG0000955	rna3473	Kwal_23.4090
OG0000956	rna4272	Kwal_23.4101
OG0000957	rna3474	Kwal_23.4106
OG0000958	rna4268	Kwal_23.4111
OG0000959	rna4267	Kwal_23.4118
OG0000960	rna868	Kwal_23.4124
OG0000961	rna4259	Kwal_23.4168
OG0000962	rna874	Kwal_23.4173
OG0000963	rna5735	Kwal_27.12335
OG0000964	rna4257	Kwal_23.4187
OG0000965	rna4256	Kwal_23.4194
OG0000966	rna4255	Kwal_23.4198
OG0000967	rna6278	Kwal_23.5378
OG0000968	rna6280	Kwal_23.5395
OG0000969	rna6281	Kwal_23.5400
OG0000970	rna6284	Kwal_23.5408
OG0000971	rna6285	Kwal_23.5415
OG0000972	rna6286	Kwal_23.5419
OG0000973	rna2792	Kwal_47.16751
OG0000974	rna3412	Kwal_47.16741
OG0000975	rna3410	Kwal_47.16733
OG0000976	rna2789	Kwal_47.16732
OG0000977	rna3409	Kwal_47.16730
OG0000978	rna3408	Kwal_47.16725
OG0000979	rna3406	Kwal_47.16709
OG0000980	rna2788	Kwal_47.16706
OG0000981	rna3405	Kwal_47.16696
OG0000982	rna3404	Kwal_47.16686
OG0000983	rna3400	Kwal_47.16671
OG0000984	rna3399	Kwal_47.16660
OG0000985	rna2781	Kwal_47.16655
OG0000986	rna2780	Kwal_47.16653
OG0000987	rna3398	Kwal_47.16648
OG0000988	rna3028	Kwal_47.16638
OG0000989	rna3396	Kwal_47.16635
OG0000991	rna4379	Kwal_47.16616
OG0000992	rna3392	Kwal_47.16857
OG0000993	rna4307	Kwal_47.16911
OG0000994	rna4390	Kwal_47.16950
OG0000995	rna4391	Kwal_47.16954
OG0000997	rna4399	Kwal_47.16997
OG0000998	rna4300	Kwal_47.17007
OG0000999	rna4401	Kwal_47.17014
OG0001000	rna4296	Kwal_47.17058
OG0001001	rna4295	Kwal_47.17067
OG0001002	rna5566	Kwal_47.18783
OG0001003	rna1361	Kwal_47.18782
OG0001004	rna4206	Kwal_14.1394
OG0001005	rna2245	Kwal_14.1386
OG0001006	rna2238	Kwal_14.1354
OG0001007	rna4196	Kwal_14.1328
OG0001008	rna2233	Kwal_14.1321
OG0001009	rna4194	Kwal_14.1309
OG0001010	rna4560	Kwal_26.7828
OG0001011	rna3455	Kwal_27.10012
OG0001012	rna3325	Kwal_27.10020
OG0001013	rna958	Kwal_56.22957
OG0001014	rna257	Kwal_56.22929
OG0001015	rna956	Kwal_56.22923
OG0001016	rna952	Kwal_56.22905
OG0001017	rna250	Kwal_27.12696
OG0001018	rna247	Kwal_27.12687
OG0001019	rna3486	Kwal_33.13843
OG0001020	rna3488	Kwal_33.13856
OG0001021	rna3102	Kwal_33.13899
OG0001022	rna3072	Kwal_33.13681
OG0001023	rna635	Kwal_33.13665
OG0001024	rna5312	Kwal_56.22658
OG0001025	rna1437	Kwal_56.22664
OG0001026	rna4231	Kwal_26.9295
OG0001027	rna2272	Kwal_26.9256
OG0001028	rna2271	Kwal_26.9244
OG0001029	rna5706	Kwal_26.9207
OG0001030	rna4719	Kwal_26.9189
OG0001031	rna4718	Kwal_26.9180
OG0001032	rna4717	Kwal_26.9176
OG0001033	rna6149	Kwal_27.12607
OG0001034	rna6148	Kwal_14.1136
OG0001035	rna6147	Kwal_27.12602
OG0001036	rna6144	Kwal_27.12590
OG0001037	rna4753	Kwal_27.10404
OG0001038	rna5356	Kwal_27.10419
OG0001039	rna345	Kwal_23.3911
OG0001040	rna6167	Kwal_23.3921
OG0001041	rna6164	Kwal_23.3935
OG0001042	rna6160	Kwal_23.3958
OG0001043	rna338	Kwal_23.3654
OG0001044	rna336	Kwal_23.3670
OG0001045	rna334	Kwal_23.3679
OG0001046	rna6155	Kwal_23.3721
OG0001047	rna333	Kwal_23.3727
OG0001048	rna6152	Kwal_23.3741
OG0001049	rna384	Kwal_27.11945
OG0001050	rna382	Kwal_27.11932
OG0001051	rna375	Kwal_27.11890
OG0001052	rna2653	Kwal_34.15979
OG0001053	rna1271	Kwal_34.15977
OG0001054	rna4685	Kwal_23.6039
OG0001055	rna4686	Kwal_23.6051
OG0001056	rna5839	Kwal_23.6059
OG0001057	rna5914	Kwal_27.11096
OG0001058	rna6258	Kwal_55.21909
OG0001059	rna4314	Kwal_55.21914
OG0001060	rna6261	Kwal_55.21944
OG0001061	rna6262	Kwal_55.21945
OG0001062	rna6264	Kwal_55.21950
OG0001063	rna6269	Kwal_23.5338
OG0001064	rna6232	Kwal_55.21179
OG0001065	rna2336	Kwal_55.21175
OG0001066	rna6230	Kwal_55.21172
OG0001068	rna6227	Kwal_55.21160
OG0001069	rna6222	Kwal_55.21144
OG0001070	rna6221	Kwal_55.21133
OG0001071	rna2329	Kwal_55.21126
OG0001072	rna6218	Kwal_55.21121
OG0001073	rna6216	Kwal_55.21111
OG0001074	rna6215	Kwal_55.21109
OG0001075	rna6212	Kwal_55.21103
OG0001076	rna2326	Kwal_55.21088
OG0001077	rna2325	Kwal_55.21080
OG0001078	rna2324	Kwal_55.21076
OG0001079	rna475	Kwal_55.21073
OG0001080	rna1595	Kwal_55.21049
OG0001081	rna3004	Kwal_55.21039
OG0001082	rna1591	Kwal_55.21029
OG0001083	rna1590	Kwal_55.21028
OG0001084	rna3003	Kwal_55.21018
OG0001085	rna5384	Kwal_55.21004
OG0001086	rna322	Kwal_27.12562
OG0001087	rna320	Kwal_27.12551
OG0001089	rna6140	Kwal_27.12534
OG0001090	rna6139	Kwal_27.12530
OG0001091	rna6138	Kwal_27.12528
OG0001092	rna6137	Kwal_27.12524
OG0001093	rna312	Kwal_27.12518
OG0001094	rna178	Kwal_27.12491
OG0001095	rna3518	Kwal_26.7616
OG0001096	rna4586	Kwal_26.7624
OG0001097	rna3531	Kwal_26.7653
OG0001098	rna3532	Kwal_26.7648
OG0001099	rna4580	Kwal_26.7647
OG0001100	rna5710	Kwal_55.20310
OG0001101	rna4722	Kwal_55.20318
OG0001102	rna4221	Kwal_55.20326
OG0001103	rna4219	Kwal_55.20333
OG0001104	rna4217	Kwal_47.18066
OG0001105	rna3658	Kwal_26.7931
OG0001106	rna3657	Kwal_26.7924
OG0001107	rna3654	Kwal_26.7922
OG0001108	rna3648	Kwal_26.7908
OG0001109	rna2566	Kwal_26.7902
OG0001110	rna2564	Kwal_26.7882
OG0001111	rna3646	Kwal_26.7878
OG0001112	rna3645	Kwal_26.7869
OG0001113	rna3560	Kwal_26.7851
OG0001114	rna2557	Kwal_26.7848
OG0001115	rna4558	Kwal_26.7842
OG0001116	rna3327	Kwal_27.9999
OG0001117	rna3329	Kwal_27.9990
OG0001118	rna3332	Kwal_27.9958
OG0001119	rna3335	Kwal_27.9942
OG0001120	rna3336	Kwal_27.9928
OG0001121	rna3337	Kwal_27.9924
OG0001122	rna3338	Kwal_27.9914
OG0001123	rna3448	Kwal_27.9912
OG0001124	rna3339	Kwal_33.15560
OG0001125	rna3445	Kwal_33.15561
OG0001126	rna3444	Kwal_33.15567
OG0001127	rna3341	Kwal_33.15573
OG0001128	rna3342	Kwal_33.15576
OG0001129	rna3442	Kwal_33.15581
OG0001130	rna3440	Kwal_33.15591
OG0001131	rna532, rna643	Kwal_YGOB_HMalpha1, Kwal_YGOB_matalpha1
OG0001132	rna535	Kwal_33.13005
OG0001133	rna536	Kwal_33.13011
OG0001134	rna544	Kwal_33.13054
OG0001135	rna545	Kwal_33.13059
OG0001136	rna1479	Kwal_33.13064
OG0001137	rna1481	Kwal_33.13069
OG0001138	rna1476	Kwal_33.13082
OG0001139	rna552	Kwal_33.13125
OG0001141	rna557	Kwal_33.13148
OG0001142	rna558	Kwal_33.13151
OG0001143	rna1460	Kwal_33.13181
OG0001144	rna4037	Kwal_33.13246
OG0001145	rna4041	Kwal_33.13259
OG0001146	rna4044	Kwal_33.13289
OG0001147	rna4882	Kwal_33.13293
OG0001148	rna4046	Kwal_33.13308
OG0001149	rna4885	Kwal_33.13317
OG0001150	rna647	Kwal_33.13339
OG0001151	rna4886	Kwal_33.13344
OG0001152	rna4887	Kwal_33.13356
OG0001153	rna5569	Kwal_33.13367
OG0001154	rna4888	Kwal_33.13376
OG0001155	rna4889	Kwal_33.13389
OG0001156	rna4894	Kwal_33.13413
OG0001157	rna2256	Kwal_33.13422
OG0001158	rna2257	Kwal_33.13428
OG0001159	rna2258	Kwal_33.13436
OG0001160	rna2064	Kwal_33.13439
OG0001161	rna2075	Kwal_33.13451
OG0001162	rna4897	Kwal_33.13455
OG0001163	rna4898	Kwal_33.13461
OG0001164	rna4899	Kwal_33.13471
OG0001165	rna2479	Kwal_33.13499
OG0001166	rna4904	Kwal_33.13503
OG0001167	rna4907	Kwal_33.13515
OG0001168	rna4908	Kwal_33.13519
OG0001169	rna4909	Kwal_33.13522
OG0001170	rna4910	Kwal_33.13526
OG0001171	rna4912	Kwal_33.13532
OG0001172	rna4913	Kwal_33.13539
OG0001173	rna4915	Kwal_33.13551
OG0001174	rna4916	Kwal_33.13554
OG0001175	rna3058	Kwal_33.13585
OG0001176	rna3059	Kwal_33.13587
OG0001177	rna3061	Kwal_33.13604
OG0001178	rna639	Kwal_33.13636
OG0001179	rna638	Kwal_33.13638
OG0001180	rna3066	Kwal_33.13660
OG0001181	rna1436	Kwal_56.22657
OG0001182	rna5313	Kwal_56.22653
OG0001183	rna1434	Kwal_56.22637
OG0001184	rna5315	Kwal_56.22633
OG0001185	rna5316	Kwal_56.22629
OG0001186	rna5346	Kwal_33.14182
OG0001187	rna5347	Kwal_33.14186
OG0001188	rna914	Kwal_33.14192
OG0001189	rna5348	Kwal_33.14194
OG0001190	rna5350	Kwal_33.14217
OG0001191	rna81	Kwal_27.9773
OG0001192	rna80	Kwal_27.9776
OG0001193	rna235	Kwal_27.9786
OG0001194	rna924	Kwal_27.9811
OG0001195	rna2285	Kwal_27.12708
OG0001196	rna5335	Kwal_27.12704
OG0001197	rna4134	Kwal_56.23291
OG0001198	rna4136	Kwal_56.23302
OG0001199	rna4138	Kwal_56.23314
OG0001200	rna4140	Kwal_56.23317
OG0001201	rna5596	Kwal_56.23328
OG0001202	rna5599	Kwal_56.23341
OG0001203	rna4146	Kwal_56.23346
OG0001204	rna618	Kwal_34.16162
OG0001205	rna436	Kwal_14.1849
OG0001206	rna2148	Kwal_14.1845
OG0001207	rna440	Kwal_14.1811
OG0001208	rna4422	Kwal_56.22527
OG0001209	rna5403	Kwal_56.22522
OG0001210	rna5404	Kwal_56.22517
OG0001211	rna4472	Kwal_56.22505
OG0001212	rna5406	Kwal_56.22502
OG0001213	rna4471	Kwal_56.22499
OG0001214	rna5407	Kwal_56.22497
OG0001215	rna5408	Kwal_56.22496
OG0001216	rna4469	Kwal_56.22492
OG0001217	rna5410	Kwal_56.22484
OG0001218	rna4467	Kwal_56.22476
OG0001219	rna5411	Kwal_56.22472
OG0001220	rna4781	Kwal_27.10199
OG0001221	rna4784	Kwal_27.10213
OG0001222	rna4338	Kwal_33.14300
OG0001223	rna4337	Kwal_33.14296
OG0001224	rna2776	Kwal_33.14293
OG0001225	rna5561	Kwal_47.18864
OG0001226	rna5563	Kwal_47.18855
OG0001227	rna1351	Kwal_47.18851
OG0001228	rna1352	Kwal_47.18846
OG0001229	rna5564	Kwal_47.18842
OG0001230	rna1355	Kwal_47.18825
OG0001231	rna1360	Kwal_47.18795
OG0001232	rna5701	Kwal_26.9116
OG0001233	rna5697	Kwal_26.9139
OG0001234	rna5696	Kwal_26.9149
OG0001235	rna5693	Kwal_26.9076
OG0001236	rna4706	Kwal_26.9032
OG0001237	rna5689	Kwal_26.9005
OG0001238	rna5688	Kwal_26.9003
OG0001239	rna5686	Kwal_26.8975
OG0001240	rna5684	Kwal_26.8971
OG0001241	rna4698	Kwal_26.8969
OG0001242	rna5683	Kwal_26.8959
OG0001243	rna1670	Kwal_23.5937
OG0001244	rna1666	Kwal_23.5922
OG0001245	rna1663	Kwal_23.5911
OG0001246	rna1662	Kwal_23.5908
OG0001247	rna2924	Kwal_23.5898
OG0001248	rna2927	Kwal_23.5885
OG0001249	rna2928	Kwal_23.5881
OG0001250	rna2929	Kwal_23.5876
OG0001251	rna1659	Kwal_23.5867
OG0001252	rna1658	Kwal_23.5859
OG0001253	rna1650	Kwal_23.5828
OG0001254	rna2942	Kwal_23.5825
OG0001255	rna2943	Kwal_23.5789
OG0001256	rna5192	Kwal_23.6339
OG0001257	rna5190	Kwal_23.6334
OG0001258	rna669	Kwal_23.6324
OG0001259	rna5187	Kwal_23.6316
OG0001260	rna666	Kwal_23.6298
OG0001261	rna664	Kwal_23.6285
OG0001262	rna662	Kwal_23.6272
OG0001263	rna660	Kwal_23.6259
OG0001264	rna655	Kwal_23.6233
OG0001265	rna5180	Kwal_23.6219
OG0001266	rna653	Kwal_23.6218
OG0001267	rna5179	Kwal_23.6213
OG0001268	rna2916	Kwal_23.5973
OG0001269	rna1676	Kwal_23.5962
OG0001270	rna2917	Kwal_23.5956
OG0001271	rna5676	Kwal_26.8927
OG0001272	rna5675	Kwal_26.8925
OG0001273	rna5920	Kwal_26.8920
OG0001274	rna5674	Kwal_26.8916
OG0001275	rna5673	Kwal_26.8912
OG0001276	rna5671	Kwal_26.8907
OG0001277	rna5922	Kwal_26.8891
OG0001278	rna5923	Kwal_26.8883
OG0001279	rna5668	Kwal_26.8879
OG0001280	rna5925	Kwal_26.8865
OG0001281	rna5665	Kwal_26.8860
OG0001282	rna5664	Kwal_26.8856
OG0001283	rna1253	Kwal_33.14365
OG0001284	rna2639	Kwal_33.14371
OG0001285	rna2638	Kwal_47.18206
OG0001286	rna1248	Kwal_47.18192
OG0001288	rna1246	Kwal_23.5750
OG0001289	rna1245	Kwal_23.5747
OG0001290	rna1244	Kwal_23.5743
OG0001291	rna2611	Kwal_23.5733
OG0001292	rna2613	Kwal_23.5714
OG0001293	rna1240	Kwal_23.5705
OG0001294	rna2614	Kwal_23.5702
OG0001295	rna2615	Kwal_23.5699
OG0001296	rna2617	Kwal_23.5696
OG0001297	rna1239	Kwal_23.5684
OG0001298	rna1238	Kwal_23.5679
OG0001299	rna1237	Kwal_23.5676
OG0001300	rna1231	Kwal_23.5668
OG0001301	rna1232	Kwal_23.5665
OG0001302	rna3843	Kwal_23.2901
OG0001303	rna3232	Kwal_23.2894
OG0001304	rna1228	Kwal_23.5638
OG0001306	rna5325	Kwal_56.23183
OG0001307	rna363	Kwal_56.23164
OG0001308	rna362	Kwal_56.23159
OG0001309	rna5071	Kwal_23.3055
OG0001310	rna5070	Kwal_23.3049
OG0001311	rna5069	Kwal_23.3042
OG0001312	rna5068	Kwal_23.3028
OG0001313	rna2847	Kwal_23.3025
OG0001314	rna2182	Kwal_47.17426
OG0001315	rna1759	Kwal_14.1933
OG0001316	rna1026	Kwal_14.1924
OG0001317	rna1029	Kwal_56.23374
OG0001318	rna1763	Kwal_56.23401
OG0001319	rna1033	Kwal_56.23405
OG0001320	rna2436	Kwal_27.9898
OG0001321	rna4881	Kwal_56.22740
OG0001322	rna1445	Kwal_56.22719
OG0001323	rna1444	Kwal_56.22713
OG0001324	rna5306	Kwal_56.22708
OG0001325	rna3604	Kwal_26.8328
OG0001326	rna4507	Kwal_26.8323
OG0001327	rna3601	Kwal_26.8295
OG0001328	rna3598	Kwal_26.8282
OG0001329	rna3597	Kwal_26.8279
OG0001330	rna4504	Kwal_26.8275
OG0001331	rna3596	Kwal_26.8270
OG0001332	rna4503	Kwal_26.8269
OG0001333	rna3594	Kwal_26.8261
OG0001334	rna5282	Kwal_55.21967
OG0001335	rna27	Kwal_26.6865
OG0001336	rna5770	Kwal_26.6868
OG0001337	rna5767	Kwal_26.6909
OG0001338	rna5048	Kwal_26.8416
OG0001339	rna5049	Kwal_26.8405
OG0001340	rna5518	Kwal_26.8391
OG0001341	rna5055	Kwal_26.8384
OG0001342	rna5511	Kwal_23.2937
OG0001343	rna5509	Kwal_23.2949
OG0001344	rna5059	Kwal_23.2964
OG0001345	rna5507	Kwal_23.2969
OG0001346	rna5506	Kwal_23.2974
OG0001347	rna5064	Kwal_23.2995
OG0001348	rna5501	Kwal_23.3015
OG0001349	rna5067	Kwal_23.3020
OG0001350	rna4799	Kwal_26.9607
OG0001351	rna4805	Kwal_26.9550
OG0001352	rna3535	Kwal_26.7682
OG0001353	rna3534	Kwal_26.7677
OG0001354	rna4741	Kwal_27.12327
OG0001355	rna5734	Kwal_27.12337
OG0001356	rna5359	Kwal_27.12344
OG0001358	rna300	Kwal_27.12369
OG0001359	rna1261	Kwal_33.14316
OG0001360	rna3320	Kwal_27.10034
OG0001361	rna2645	Kwal_33.14325
OG0001362	rna1259	Kwal_33.14330
OG0001363	rna2644	Kwal_33.14336
OG0001364	rna2643	Kwal_33.14339
OG0001365	rna1258	Kwal_33.14342
OG0001366	rna2642	Kwal_33.14350
OG0001367	rna1256	Kwal_33.14356
OG0001368	rna1410	Kwal_47.18361
OG0001369	rna1413	Kwal_47.18349
OG0001370	rna1177	Kwal_27.11664
OG0001371	rna1179	Kwal_27.11676
OG0001372	rna746	Kwal_27.11684
OG0001373	rna745	Kwal_27.11690
OG0001374	rna1181	Kwal_27.11696
OG0001375	rna744	Kwal_27.11697
OG0001376	rna1182	Kwal_27.11703
OG0001377	rna1183	Kwal_27.11707
OG0001378	rna742	Kwal_27.11730
OG0001379	rna1188	Kwal_27.11734
OG0001380	rna1189	Kwal_27.11737
OG0001381	rna1190	Kwal_27.11741
OG0001382	rna2126	Kwal_56.24005
OG0001383	rna6182	Kwal_23.3773
OG0001384	rna6179	Kwal_23.3784
OG0001386	rna6174	Kwal_23.3797
OG0001387	rna357	Kwal_YGOB_23.3805
OG0001388	rna355	Kwal_23.3833
OG0001389	rna6173	Kwal_23.3840
OG0001390	rna5857	Kwal_56.24270
OG0001391	rna5859	Kwal_56.24265
OG0001392	rna5864	Kwal_56.24238
OG0001393	rna5865	Kwal_56.24234
OG0001394	rna5867	Kwal_56.24216
OG0001395	rna4068	Kwal_56.24532
OG0001396	rna799	Kwal_56.24535
OG0001397	rna797	Kwal_56.24543
OG0001398	rna796	Kwal_56.24548
OG0001399	rna795	Kwal_56.24552
OG0001400	rna794	Kwal_56.24556
OG0001402	rna789	Kwal_56.24584
OG0001403	rna787	Kwal_56.24588
OG0001404	rna4065	Kwal_56.24593
OG0001405	rna4064	Kwal_56.24596
OG0001406	rna2655	Kwal_34.15967
OG0001407	rna4373	Kwal_33.14263
OG0001408	rna4371	Kwal_33.14248
OG0001409	rna2181	Kwal_47.17420
OG0001410	rna2026	Kwal_47.17252
OG0001411	rna4161	Kwal_26.7421
OG0001412	rna2034	Kwal_14.2171
OG0001413	rna2549	Kwal_26.8136
OG0001414	rna6110	Kwal_14.2175
OG0001415	rna1771	Kwal_56.23486
OG0001416	rna1773	Kwal_56.23462
OG0001417	rna1774	Kwal_56.23461
OG0001418	rna1042	Kwal_56.23445
OG0001419	rna1777	Kwal_56.23490
OG0001420	rna1778	Kwal_56.23494
OG0001421	rna1779	Kwal_56.23503
OG0001422	rna2216	Kwal_47.17697
OG0001423	rna2215	Kwal_47.17692
OG0001424	rna2211	Kwal_47.17655
OG0001425	rna2210	Kwal_47.17650
OG0001426	rna2209	Kwal_47.17647
OG0001427	rna4178	Kwal_47.17638
OG0001428	rna2206	Kwal_47.17632
OG0001429	rna4175	Kwal_47.17617
OG0001430	rna4174	Kwal_47.17613
OG0001431	rna4177	Kwal_47.17608
OG0001432	rna69	Kwal_47.17599
OG0001433	rna687	Kwal_23.6466
OG0001434	rna688	Kwal_23.6473
OG0001435	rna1122	Kwal_23.6485
OG0001436	rna5209	Kwal_23.6494
OG0001437	rna5212	Kwal_23.6505
OG0001438	rna5215	Kwal_23.6516
OG0001439	rna3052	Kwal_YGOB_Anc_1.124
OG0001440	rna5825	Kwal_56.22317
OG0001441	rna5823	Kwal_56.22323
OG0001442	rna5829	Kwal_56.22362
OG0001443	rna5421	Kwal_56.22421
OG0001444	rna5417	Kwal_56.22437
OG0001445	rna5416	Kwal_56.22447
OG0001446	rna4779	Kwal_27.10219
OG0001447	rna4777	Kwal_27.10227
OG0001448	rna4774	Kwal_27.10258
OG0001449	rna4773	Kwal_27.10263
OG0001450	rna4767	Kwal_27.10332
OG0001451	rna4770	Kwal_27.10314
OG0001452	rna4348	Kwal_27.10303
OG0001453	rna4346	Kwal_27.10292
OG0001454	rna4353	Kwal_27.10341
OG0001455	rna4354	Kwal_27.10345
OG0001456	rna4763	Kwal_27.10353
OG0001457	rna6107	Kwal_14.2191
OG0001458	rna6109	Kwal_14.2183
OG0001459	rna1007	Kwal_14.2048
OG0001460	rna1006	Kwal_14.2052
OG0001461	rna3673	Kwal_14.2375
OG0001462	rna3178	Kwal_14.2377
OG0001463	rna3672	Kwal_14.2384
OG0001464	rna3179	Kwal_14.2397
OG0001465	rna5702	Kwal_26.9111
OG0001466	rna5565	Kwal_47.18793
OG0001467	rna4290	Kwal_47.17093
OG0001468	rna4289	Kwal_47.17099
OG0001469	rna4407	Kwal_47.17101
OG0001470	rna4287	Kwal_47.17106
OG0001471	rna3457	Kwal_47.17121
OG0001472	rna3458	Kwal_47.17122
OG0001473	rna4285	Kwal_47.17125
OG0001474	rna3459	Kwal_47.17132
OG0001475	rna3460	Kwal_YGOB_47.17139
OG0001476	rna4281	Kwal_47.17161
OG0001477	rna3462	Kwal_47.17163
OG0001478	rna4278	Kwal_47.17178
OG0001479	rna4279	Kwal_47.17183
OG0001480	rna2135	Kwal_56.24058
OG0001481	rna2134	Kwal_56.24054
OG0001482	rna2132	Kwal_56.24036
OG0001483	rna5892	Kwal_56.24029
OG0001484	rna256	Kwal_23.5184
OG0001485	rna896	Kwal_56.22887
OG0001486	rna2280	Kwal_56.22892
OG0001487	rna2281	Kwal_56.22900
OG0001488	rna4158	Kwal_26.7437
OG0001489	rna4171	Kwal_14.2144
OG0001490	rna3804	Kwal_14.2135
OG0001491	rna2224	Kwal_14.2223
OG0001492	rna3503	Kwal_23.5471
OG0001493	rna3502	Kwal_23.5477
OG0001494	rna5163	Kwal_0.324
OG0001495	rna4034	Kwal_0.204
OG0001496	rna5153	Kwal_0.212
OG0001497	rna4035	Kwal_0.214
OG0001498	rna580	Kwal_0.227
OG0001499	rna5156	Kwal_0.232
OG0001500	rna581	Kwal_0.234
OG0001501	rna582	Kwal_0.237
OG0001502	rna2020	Kwal_47.17214
OG0001503	rna3890	Kwal_14.1151
OG0001504	rna1834	Kwal_14.1143
OG0001505	rna1831	Kwal_14.1122
OG0001506	rna1828	Kwal_14.1116
OG0001507	rna3898	Kwal_14.1090
OG0001508	rna3900	Kwal_14.1076
OG0001509	rna1822	Kwal_14.1065
OG0001510	rna3903	Kwal_14.1064
OG0001511	rna1821	Kwal_14.1057
OG0001512	rna1819	Kwal_27.12766
OG0001513	rna3542	Kwal_27.12788
OG0001514	rna5937	Kwal_26.8806
OG0001515	rna5936	Kwal_26.8814
OG0001516	rna5935	Kwal_26.8818
OG0001517	rna5932	Kwal_26.8831
OG0001518	rna5661	Kwal_26.8838
OG0001519	rna1409	Kwal_47.18366
OG0001520	rna4431	Kwal_47.18368
OG0001521	rna5782	Kwal_26.6785
OG0001522	rna3166	Kwal_14.754
OG0001523	rna5779	Kwal_26.6795
OG0001524	rna3188	Kwal_14.2466
OG0001525	rna3189	Kwal_14.2470
OG0001526	rna5967	Kwal_26.8595
OG0001527	rna5966	Kwal_26.8604
OG0001528	rna5628	Kwal_26.8613
OG0001529	rna5964	Kwal_26.8619
OG0001530	rna5629	Kwal_26.8628
OG0001531	rna5633	Kwal_26.8634
OG0001532	rna5634	Kwal_26.8639
OG0001533	rna5640	Kwal_26.8673
OG0001534	rna5641	Kwal_26.8678
OG0001535	rna5955	Kwal_26.8697
OG0001536	rna5648	Kwal_26.8707
OG0001537	rna5245, rna2822	Kwal_33.13267
OG0001538	rna1860	Kwal_23.5043
OG0001539	rna1852	Kwal_47.17957
OG0001540	rna1851	Kwal_47.17968
OG0001541	rna2722	Kwal_33.14561
OG0001542	rna4991	Kwal_33.14554
OG0001543	rna4988	Kwal_33.14536
OG0001544	rna4983	Kwal_33.14500
OG0001545	rna2728	Kwal_33.14499
OG0001546	rna4982	Kwal_33.14493
OG0001547	rna4979	Kwal_33.14463
OG0001548	rna4977	Kwal_33.14459
OG0001549	rna738	Kwal_33.14457
OG0001550	rna4976	Kwal_33.14453
OG0001551	rna4974	Kwal_33.14451
OG0001552	rna4973	Kwal_33.14449
OG0001553	rna737	Kwal_33.14444
OG0001554	rna4970	Kwal_33.14432
OG0001555	rna735	Kwal_23.4678
OG0001556	rna734	Kwal_23.4672
OG0001557	rna2777	Kwal_33.14284
OG0001558	rna4672	Kwal_56.24286
OG0001559	rna5855	Kwal_56.24280
OG0001560	rna6172	Kwal_23.3859
OG0001561	rna352	Kwal_23.3864
OG0001562	rna351	Kwal_23.3867
OG0001563	rna349	Kwal_23.3884
OG0001565	rna4132	Kwal_56.23282
OG0001566	rna3256	Kwal_23.2864
OG0001567	rna3237	Kwal_23.2870
OG0001568	rna3236	Kwal_23.2873
OG0001569	rna3258	Kwal_23.2880
OG0001570	rna3234	Kwal_23.2883
OG0001571	rna3279	Kwal_33.15449
OG0001572	rna3829	Kwal_33.15221
OG0001573	rna3266	Kwal_33.15219
OG0001574	rna3828	Kwal_33.15203
OG0001575	rna4649	Kwal_23.3532
OG0001576	rna4650	Kwal_23.3529
OG0001577	rna842	Kwal_23.3527
OG0001578	rna841	Kwal_23.3524
OG0001579	rna840	Kwal_23.3494
OG0001580	rna4655	Kwal_23.3488
OG0001581	rna4362	Kwal_27.9693
OG0001582	rna4363	Kwal_27.9703
