Orthogroup	s_cerevisiae_proteins	s_bayanus_proteins
OG0000882	rna2486	Sbay_7.560
OG0000883	rna4787	Sbay_13.480
OG0000884	rna2490	Sbay_7.564
OG0000885	rna2491	Sbay_7.565
OG0000886	rna2492	Sbay_7.566
OG0000887	rna4790	Sbay_13.483
OG0000888	rna4791	Sbay_13.484
OG0000889	rna4793	Sbay_13.486
OG0000890	rna4795	Sbay_13.488
OG0000891	rna4797	Sbay_13.490
OG0000892	rna4798	Sbay_13.491
OG0000893	rna4810	Sbay_13.506
OG0000894	rna1790	Sbay_5.319
OG0000895	rna1791	Sbay_5.320
OG0000896	rna265	Sbay_4.279
OG0000897	rna963	Sbay_2.174
OG0000898	rna5396	Sbay_15.153
OG0000899	rna1883	Sbay_6.82
OG0000900	rna5391	Sbay_15.147
OG0000901	rna1881	Sbay_6.84
OG0000902	rna5389	Sbay_15.145
OG0000903	rna5388	Sbay_15.144
OG0000904	rna609	Sbay_3.40
OG0000905	rna617	Sbay_3.48
OG0000906	rna1562	Sbay_5.59
OG0000907	rna1561	Sbay_5.61
OG0000908	rna627	Sbay_3.60
OG0000909	rna1556	Sbay_5.67
OG0000910	rna623	Sbay_3.54
OG0000911	rna5002	Sbay_14.189
OG0000912	rna5000	Sbay_14.187
OG0000913	rna5013	Sbay_14.198
OG0000914	rna5015	Sbay_14.200
OG0000915	rna5016	Sbay_14.201
OG0000916	rna5017	Sbay_14.202
OG0000917	rna5018	Sbay_14.203
OG0000918	rna3273	Sbay_12.92
OG0000919	rna2083	Sbay_7.148
OG0000920	rna1610	Sbay_5.126
OG0000921	rna1380	Sbay_2.602
OG0000922	rna1383	Sbay_2.605
OG0000923	rna4455	Sbay_13.151
OG0000924	rna1384	Sbay_2.606
OG0000925	rna1385	Sbay_2.607
OG0000926	rna4451	Sbay_13.146
OG0000927	rna1386	Sbay_2.609
OG0000928	rna4450	Sbay_13.145
OG0000929	rna1387	Sbay_2.610
OG0000931	rna4444	Sbay_13.138
OG0000932	rna1399	Sbay_2.623
OG0000933	rna1400	Sbay_2.624
OG0000934	rna1403	Sbay_2.627
OG0000935	rna4435	Sbay_13.129
OG0000936	rna1405	Sbay_2.629
OG0000937	rna1406	Sbay_2.630
OG0000938	rna1407	Sbay_2.631
OG0000939	rna2068	Sbay_7.128
OG0000940	rna5875	Sbay_16.89
OG0000941	rna5877	Sbay_16.91
OG0000942	rna5878	Sbay_16.92
OG0000943	rna5879	Sbay_16.93
OG0000944	rna2072	Sbay_7.132
OG0000945	rna2073	Sbay_7.133
OG0000946	rna2074	Sbay_7.134
OG0000948	rna5882	Sbay_16.96
OG0000949	rna5883	Sbay_16.97
OG0000950	rna2138	Sbay_7.204
OG0000951	rna5886	Sbay_16.100
OG0000952	rna3465	Sbay_11.35
OG0000953	rna4277	Sbay_10.532
OG0000954	rna3470	Sbay_11.40
OG0000955	rna3473	Sbay_11.42
OG0000956	rna4272	Sbay_10.528
OG0000957	rna3474	Sbay_11.43
OG0000958	rna4268	Sbay_10.526
OG0000959	rna4267	Sbay_10.525
OG0000960	rna868	Sbay_4.171
OG0000961	rna4259	Sbay_10.517
OG0000962	rna874	Sbay_4.177
OG0000964	rna4257	Sbay_10.515
OG0000965	rna4256	Sbay_10.514
OG0000966	rna4255	Sbay_10.513
OG0000967	rna6278	Sbay_16.515
OG0000968	rna6280	Sbay_16.517
OG0000969	rna6281	Sbay_16.518
OG0000970	rna6284	Sbay_16.521
OG0000971	rna6285	Sbay_16.522
OG0000972	rna6286	Sbay_16.523
OG0000973	rna2792	Sbay_15.410
OG0000974	rna3412	Sbay_12.237
OG0000975	rna3410	Sbay_12.235
OG0000976	rna2789	Sbay_15.405
OG0000977	rna3409	Sbay_12.234
OG0000978	rna3408	Sbay_12.233
OG0000979	rna3406	Sbay_12.230
OG0000980	rna2788	Sbay_15.404
OG0000981	rna3405	Sbay_12.229
OG0000982	rna3404	Sbay_12.228
OG0000983	rna3400	Sbay_12.224
OG0000984	rna3399	Sbay_12.223
OG0000985	rna2781	Sbay_15.397
OG0000986	rna2780	Sbay_15.396
OG0000987	rna3398	Sbay_12.222
OG0000988	rna3028	Sbay_9.245
OG0000989	rna3396	Sbay_12.220
OG0000991	rna4379	Sbay_13.72
OG0000992	rna3392	Sbay_12.216
OG0000993	rna4307	Sbay_10.565
OG0000994	rna4390	Sbay_13.86
OG0000995	rna4391	Sbay_13.87
OG0000997	rna4399	Sbay_13.96
OG0000998	rna4300	Sbay_10.557
OG0000999	rna4401	Sbay_13.98
OG0001001	rna4295	Sbay_10.551
OG0001002	rna5566	Sbay_8.202
OG0001003	rna1361	Sbay_2.582
OG0001004	rna4206	Sbay_10.448
OG0001005	rna2245	Sbay_7.321
OG0001006	rna2238	Sbay_7.313
OG0001007	rna4196	Sbay_10.435
OG0001008	rna2233	Sbay_7.309
OG0001009	rna4194	Sbay_10.432
OG0001010	rna4560	Sbay_13.259
OG0001011	rna3455	Sbay_11.25
OG0001012	rna3325	Sbay_12.147
OG0001013	rna958	Sbay_2.169
OG0001014	rna257	Sbay_4.271
OG0001015	rna956	Sbay_2.167
OG0001016	rna952	Sbay_2.161
OG0001017	rna250	Sbay_4.266
OG0001018	rna247	Sbay_2.159
OG0001019	rna3486	Sbay_11.55
OG0001020	rna3488	Sbay_11.58
OG0001021	rna3102	Sbay_6.234
OG0001022	rna3072	Sbay_6.268
OG0001023	rna635	Sbay_3.65
OG0001024	rna5312	Sbay_15.68
OG0001025	rna1437	Sbay_2.661
OG0001026	rna4231	Sbay_10.489
OG0001027	rna2272	Sbay_7.344
OG0001028	rna2271	Sbay_7.343
OG0001029	rna5706	Sbay_8.340
OG0001030	rna4719	Sbay_13.413
OG0001031	rna4718	Sbay_13.412
OG0001032	rna4717	Sbay_13.411
OG0001033	rna6149	Sbay_16.389
OG0001034	rna6148	Sbay_16.388
OG0001035	rna6147	Sbay_16.387
OG0001036	rna6144	Sbay_16.384
OG0001037	rna4753	Sbay_13.443
OG0001038	rna5356	Sbay_15.115
OG0001039	rna345	Sbay_4.370
OG0001040	rna6167	Sbay_16.412
OG0001041	rna6164	Sbay_16.408
OG0001042	rna6160	Sbay_16.402
OG0001043	rna338	Sbay_4.363
OG0001044	rna336	Sbay_4.361
OG0001045	rna334	Sbay_4.359
OG0001046	rna6155	Sbay_16.397
OG0001047	rna333	Sbay_4.357
OG0001048	rna6152	Sbay_16.394
OG0001049	rna384	Sbay_4.415
OG0001050	rna382	Sbay_4.413
OG0001051	rna375	Sbay_4.405
OG0001052	rna2653	Sbay_15.262
OG0001053	rna1271	Sbay_2.489
OG0001054	rna4685	Sbay_13.378
OG0001055	rna4686	Sbay_13.379
OG0001056	rna5839	Sbay_16.52
OG0001057	rna5914	Sbay_16.131
OG0001058	rna6258	Sbay_16.493
OG0001059	rna4314	Sbay_10.573
OG0001060	rna6261	Sbay_16.496
OG0001061	rna6262	Sbay_16.497
OG0001062	rna6264	Sbay_16.499
OG0001063	rna6269	Sbay_16.506
OG0001064	rna6232	Sbay_16.473
OG0001065	rna2336	Sbay_7.408
OG0001066	rna6230	Sbay_16.471
OG0001067	rna6229	Sbay_16.469
OG0001068	rna6227	Sbay_16.467
OG0001069	rna6222	Sbay_16.464
OG0001070	rna6221	Sbay_16.463
OG0001071	rna2329	Sbay_7.402
OG0001072	rna6218	Sbay_16.460
OG0001073	rna6216	Sbay_16.457
OG0001074	rna6215	Sbay_16.456
OG0001075	rna6212	Sbay_16.453
OG0001076	rna2326	Sbay_7.399
OG0001077	rna2325	Sbay_7.398
OG0001078	rna2324	Sbay_7.397
OG0001079	rna475	Sbay_4.512
OG0001080	rna1595	Sbay_5.108
OG0001081	rna3004	Sbay_9.220
OG0001082	rna1591	Sbay_5.103
OG0001083	rna1590	Sbay_5.102
OG0001084	rna3003	Sbay_9.219
OG0001085	rna5384	Sbay_15.140
OG0001086	rna322	Sbay_4.344
OG0001087	rna320	Sbay_4.342
OG0001089	rna6140	Sbay_16.379
OG0001090	rna6139	Sbay_16.378
OG0001091	rna6138	Sbay_16.377
OG0001092	rna6137	Sbay_16.376
OG0001093	rna312	Sbay_4.334
OG0001094	rna178	Sbay_2.86
OG0001095	rna3518	Sbay_11.91
OG0001096	rna4586	Sbay_13.283
OG0001097	rna3531	Sbay_11.104
OG0001098	rna3532	Sbay_11.105
OG0001099	rna4580	Sbay_13.278
OG0001100	rna5710	Sbay_8.343
OG0001101	rna4722	Sbay_13.415
OG0001102	rna4221	Sbay_10.464
OG0001103	rna4219	Sbay_10.462
OG0001104	rna4217	Sbay_10.459
OG0001105	rna3658	Sbay_11.232
OG0001106	rna3657	Sbay_11.231
OG0001107	rna3654	Sbay_11.226
OG0001108	rna3648	Sbay_11.221
OG0001109	rna2566	Sbay_8.51
OG0001110	rna2564	Sbay_8.49
OG0001111	rna3646	Sbay_11.219
OG0001112	rna3645	Sbay_11.218
OG0001113	rna3560	Sbay_11.135
OG0001114	rna2557	Sbay_8.43
OG0001115	rna4558	Sbay_13.257
OG0001116	rna3327	Sbay_12.149
OG0001117	rna3329	Sbay_12.151
OG0001118	rna3332	Sbay_12.154
OG0001119	rna3335	Sbay_12.158
OG0001120	rna3336	Sbay_12.159
OG0001121	rna3337	Sbay_12.160
OG0001122	rna3338	Sbay_12.162
OG0001123	rna3448	Sbay_11.14
OG0001124	rna3339	Sbay_12.163
OG0001125	rna3445	Sbay_11.11
OG0001126	rna3444	Sbay_11.10
OG0001127	rna3341	Sbay_12.165
OG0001128	rna3342	Sbay_12.166
OG0001129	rna3442	Sbay_11.9
OG0001130	rna3440	Sbay_11.7
OG0001131	rna532, rna643	Sbay_3.148
OG0001132	rna535	Sbay_3.152
OG0001133	rna536	Sbay_3.153
OG0001134	rna544	Sbay_3.159
OG0001135	rna545	Sbay_3.160
OG0001136	rna1479	Sbay_2.711
OG0001137	rna1481	Sbay_2.713
OG0001138	rna1476	Sbay_2.709
OG0001139	rna552	Sbay_3.167
OG0001142	rna558	Sbay_3.174
OG0001143	rna1460	Sbay_2.691
OG0001144	rna4037	Sbay_10.275
OG0001145	rna4041	Sbay_10.279
OG0001146	rna4044	Sbay_10.282
OG0001147	rna4882	Sbay_14.64
OG0001148	rna4046	Sbay_10.284
OG0001149	rna4885	Sbay_14.66
OG0001150	rna647	Sbay_3.83
OG0001151	rna4886	Sbay_14.67
OG0001152	rna4887	Sbay_14.68
OG0001153	rna5569	Sbay_8.205
OG0001154	rna4888	Sbay_14.69
OG0001155	rna4889	Sbay_14.70
OG0001156	rna4894	Sbay_14.76
OG0001157	rna2256	Sbay_7.330
OG0001158	rna2257	Sbay_7.331
OG0001159	rna2258	Sbay_7.332
OG0001160	rna2064	Sbay_7.124
OG0001161	rna2075	Sbay_7.135
OG0001162	rna4897	Sbay_14.79
OG0001163	rna4898	Sbay_14.80
OG0001164	rna4899	Sbay_14.81
OG0001165	rna2479	Sbay_7.552
OG0001166	rna4904	Sbay_14.86
OG0001167	rna4907	Sbay_14.89
OG0001168	rna4908	Sbay_14.90
OG0001169	rna4909	Sbay_14.91
OG0001170	rna4910	Sbay_14.92
OG0001171	rna4912	Sbay_14.94
OG0001172	rna4913	Sbay_14.95
OG0001173	rna4915	Sbay_14.97
OG0001174	rna4916	Sbay_14.98
OG0001175	rna3058	Sbay_6.283
OG0001176	rna3059	Sbay_6.282
OG0001177	rna3061	Sbay_6.280
OG0001178	rna639	Sbay_3.70
OG0001179	rna638	Sbay_3.69
OG0001180	rna3066	Sbay_6.274
OG0001181	rna1436	Sbay_2.660
OG0001182	rna5313	Sbay_15.69
OG0001183	rna1434	Sbay_2.658
OG0001184	rna5315	Sbay_15.71
OG0001185	rna5316	Sbay_15.73
OG0001186	rna5346	Sbay_15.103
OG0001187	rna5347	Sbay_15.104
OG0001188	rna914	Sbay_4.223
OG0001189	rna5348	Sbay_15.105
OG0001190	rna5350	Sbay_15.107
OG0001191	rna81	Sbay_1.84
OG0001192	rna80	Sbay_1.83
OG0001193	rna235	Sbay_2.146
OG0001194	rna924	Sbay_4.233
OG0001195	rna2285	Sbay_7.360
OG0001196	rna5335	Sbay_15.92
OG0001197	rna4134	Sbay_10.374
OG0001198	rna4136	Sbay_10.376
OG0001199	rna4138	Sbay_10.378
OG0001200	rna4140	Sbay_10.380
OG0001201	rna5596	Sbay_8.238
OG0001202	rna5599	Sbay_8.240
OG0001203	rna4146	Sbay_10.385
OG0001204	rna618	Sbay_3.49
OG0001205	rna436	Sbay_4.471
OG0001206	rna2148	Sbay_7.216
OG0001207	rna440	Sbay_4.475
OG0001208	rna4422	Sbay_13.117
OG0001209	rna5403	Sbay_15.159
OG0001210	rna5404	Sbay_15.160
OG0001211	rna4472	Sbay_13.168
OG0001212	rna5406	Sbay_15.164
OG0001213	rna4471	Sbay_13.167
OG0001214	rna5407	Sbay_15.165
OG0001215	rna5408	Sbay_15.166
OG0001216	rna4469	Sbay_13.165
OG0001217	rna5410	Sbay_15.168
OG0001218	rna4467	Sbay_13.163
OG0001219	rna5411	Sbay_15.169
OG0001220	rna4781	Sbay_13.474
OG0001221	rna4784	Sbay_13.477
OG0001222	rna4338	Sbay_13.23
OG0001223	rna4337	Sbay_13.22
OG0001224	rna2776	Sbay_15.392
OG0001225	rna5561	Sbay_8.197
OG0001226	rna5563	Sbay_8.199
OG0001227	rna1351	Sbay_2.570
OG0001228	rna1352	Sbay_2.571
OG0001229	rna5564	Sbay_8.200
OG0001230	rna1355	Sbay_2.575
OG0001231	rna1360	Sbay_2.581
OG0001232	rna5701	Sbay_8.335
OG0001233	rna5697	Sbay_8.331
OG0001234	rna5696	Sbay_8.329
OG0001235	rna5693	Sbay_8.326
OG0001236	rna4706	Sbay_13.399
OG0001237	rna5689	Sbay_8.324
OG0001238	rna5688	Sbay_8.323
OG0001239	rna5686	Sbay_8.321
OG0001240	rna5684	Sbay_8.320
OG0001241	rna4698	Sbay_13.391
OG0001242	rna5683	Sbay_8.319
OG0001243	rna1670	Sbay_5.191
OG0001244	rna1666	Sbay_5.188
OG0001245	rna1663	Sbay_5.185
OG0001246	rna1662	Sbay_5.184
OG0001247	rna2924	Sbay_9.133
OG0001248	rna2927	Sbay_9.136
OG0001249	rna2928	Sbay_9.137
OG0001250	rna2929	Sbay_9.138
OG0001251	rna1659	Sbay_5.181
OG0001252	rna1658	Sbay_5.180
OG0001253	rna1650	Sbay_5.171
OG0001254	rna2942	Sbay_9.150
OG0001255	rna2943	Sbay_9.152
OG0001256	rna5192	Sbay_14.388
OG0001257	rna5190	Sbay_14.386
OG0001258	rna669	Sbay_3.109
OG0001259	rna5187	Sbay_14.383
OG0001260	rna666	Sbay_3.106
OG0001261	rna664	Sbay_3.104
OG0001262	rna662	Sbay_3.102
OG0001263	rna660	Sbay_3.96
OG0001264	rna655	Sbay_3.91
OG0001265	rna5180	Sbay_14.376
OG0001266	rna653	Sbay_3.89
OG0001267	rna5179	Sbay_14.375
OG0001268	rna2916	Sbay_9.124
OG0001269	rna1676	Sbay_5.195
OG0001270	rna2917	Sbay_9.125
OG0001271	rna5676	Sbay_8.312
OG0001272	rna5675	Sbay_8.311
OG0001273	rna5920	Sbay_16.138
OG0001274	rna5674	Sbay_8.310
OG0001275	rna5673	Sbay_8.308
OG0001276	rna5671	Sbay_8.306
OG0001277	rna5922	Sbay_16.140
OG0001278	rna5923	Sbay_16.141
OG0001279	rna5668	Sbay_8.303
OG0001280	rna5925	Sbay_16.143
OG0001281	rna5665	Sbay_8.300
OG0001282	rna5664	Sbay_8.299
OG0001283	rna1253	Sbay_2.472
OG0001284	rna2639	Sbay_15.248
OG0001285	rna2638	Sbay_15.247
OG0001286	rna1248	Sbay_2.467
OG0001288	rna1246	Sbay_2.465
OG0001289	rna1245	Sbay_2.464
OG0001290	rna1244	Sbay_2.463
OG0001291	rna2611	Sbay_15.222
OG0001292	rna2613	Sbay_15.224
OG0001293	rna1240	Sbay_2.459
OG0001294	rna2614	Sbay_15.225
OG0001295	rna2615	Sbay_15.226
OG0001296	rna2617	Sbay_15.228
OG0001297	rna1239	Sbay_2.458
OG0001298	rna1238	Sbay_2.457
OG0001299	rna1237	Sbay_2.455
OG0001300	rna1231	Sbay_2.449
OG0001301	rna1232	Sbay_2.450
OG0001302	rna3843	Sbay_10.95
OG0001303	rna3232	Sbay_12.46
OG0001304	rna1228	Sbay_2.446
OG0001305	rna2621, rna2620	Sbay_15.231
OG0001306	rna5325	Sbay_15.82
OG0001307	rna363	Sbay_4.392
OG0001308	rna362	Sbay_4.390
OG0001309	rna5071	Sbay_14.258
OG0001310	rna5070	Sbay_14.257
OG0001311	rna5069	Sbay_14.256
OG0001312	rna5068	Sbay_14.255
OG0001313	rna2847	Sbay_9.47
OG0001314	rna2182	Sbay_7.257
OG0001315	rna1759	Sbay_5.286
OG0001316	rna1026	Sbay_2.240
OG0001317	rna1029	Sbay_2.243
OG0001318	rna1763	Sbay_5.293
OG0001319	rna1033	Sbay_2.247
OG0001320	rna2436	Sbay_7.506
OG0001321	rna4881	Sbay_14.63
OG0001322	rna1445	Sbay_2.673
OG0001323	rna1444	Sbay_2.671
OG0001324	rna5306	Sbay_15.63
OG0001325	rna3604	Sbay_11.177
OG0001326	rna4507	Sbay_13.201
OG0001327	rna3601	Sbay_11.174
OG0001328	rna3598	Sbay_11.171
OG0001329	rna3597	Sbay_11.170
OG0001330	rna4504	Sbay_13.197
OG0001331	rna3596	Sbay_11.169
OG0001332	rna4503	Sbay_13.196
OG0001333	rna3594	Sbay_11.167
OG0001334	rna5282	Sbay_15.36
OG0001335	rna27	Sbay_1.24
OG0001336	rna5770	Sbay_8.412
OG0001337	rna5767	Sbay_8.407
OG0001338	rna5048	Sbay_14.236
OG0001339	rna5049	Sbay_14.237
OG0001340	rna5518	Sbay_8.156
OG0001341	rna5055	Sbay_14.242
OG0001342	rna5511	Sbay_8.148
OG0001343	rna5509	Sbay_8.146
OG0001344	rna5059	Sbay_14.246
OG0001345	rna5507	Sbay_8.144
OG0001346	rna5506	Sbay_8.143
OG0001347	rna5064	Sbay_14.251
OG0001348	rna5501	Sbay_8.138
OG0001349	rna5067	Sbay_14.254
OG0001350	rna4799	Sbay_13.492
OG0001351	rna4805	Sbay_13.500
OG0001352	rna3535	Sbay_11.108
OG0001353	rna3534	Sbay_11.107
OG0001354	rna4741	Sbay_13.432
OG0001355	rna5734	Sbay_8.370
OG0001356	rna5359	Sbay_15.117
OG0001358	rna300	Sbay_4.319
OG0001359	rna1261	Sbay_2.481
OG0001360	rna3320	Sbay_12.141
OG0001361	rna2645	Sbay_15.254
OG0001362	rna1259	Sbay_2.478
OG0001363	rna2644	Sbay_15.253
OG0001364	rna2643	Sbay_15.252
OG0001365	rna1258	Sbay_2.477
OG0001366	rna2642	Sbay_15.251
OG0001367	rna1256	Sbay_2.475
OG0001368	rna1410	Sbay_2.635
OG0001369	rna1413	Sbay_2.638
OG0001370	rna1177	Sbay_2.398
OG0001371	rna1179	Sbay_2.400
OG0001372	rna746	Sbay_4.43
OG0001373	rna745	Sbay_4.42
OG0001374	rna1181	Sbay_2.402
OG0001375	rna744	Sbay_4.41
OG0001376	rna1182	Sbay_2.403
OG0001377	rna1183	Sbay_2.404
OG0001378	rna742	Sbay_4.39
OG0001379	rna1188	Sbay_2.409
OG0001380	rna1189	Sbay_2.410
OG0001381	rna1190	Sbay_2.411
OG0001382	rna2126	Sbay_7.192
OG0001383	rna6182	Sbay_16.424
OG0001384	rna6179	Sbay_16.421
OG0001385	rna6178	Sbay_16.420
OG0001386	rna6174	Sbay_16.419
OG0001387	rna357	Sbay_4.384
OG0001388	rna355	Sbay_4.382
OG0001389	rna6173	Sbay_16.418
OG0001390	rna5857	Sbay_16.71
OG0001391	rna5859	Sbay_16.73
OG0001392	rna5864	Sbay_16.78
OG0001393	rna5865	Sbay_16.79
OG0001394	rna5867	Sbay_16.81
OG0001395	rna4068	Sbay_10.306
OG0001396	rna799	Sbay_4.98
OG0001397	rna797	Sbay_4.96
OG0001398	rna796	Sbay_4.95
OG0001399	rna795	Sbay_4.94
OG0001400	rna794	Sbay_4.93
OG0001402	rna789	Sbay_4.87
OG0001403	rna787	Sbay_4.86
OG0001404	rna4065	Sbay_10.303
OG0001405	rna4064	Sbay_10.302
OG0001406	rna2655	Sbay_15.264
OG0001407	rna4373	Sbay_13.65
OG0001408	rna4371	Sbay_13.63
OG0001409	rna2181	Sbay_7.256
OG0001410	rna2026	Sbay_7.82
OG0001411	rna4161	Sbay_10.400
OG0001412	rna2034	Sbay_7.92
OG0001413	rna2549	Sbay_8.36
OG0001414	rna6110	Sbay_16.343
OG0001415	rna1771	Sbay_5.299
OG0001416	rna1773	Sbay_5.301
OG0001417	rna1774	Sbay_5.302
OG0001418	rna1042	Sbay_2.256
OG0001419	rna1777	Sbay_5.305
OG0001420	rna1778	Sbay_5.306
OG0001421	rna1779	Sbay_5.307
OG0001422	rna2216	Sbay_7.295
OG0001423	rna2215	Sbay_7.294
OG0001424	rna2211	Sbay_7.290
OG0001425	rna2210	Sbay_7.289
OG0001426	rna2209	Sbay_7.288
OG0001427	rna4178	Sbay_10.418
OG0001428	rna2206	Sbay_7.285
OG0001429	rna4175	Sbay_10.415
OG0001430	rna4174	Sbay_10.414
OG0001431	rna4177	Sbay_10.417
OG0001432	rna69	Sbay_1.69
OG0001433	rna687	Sbay_3.130
OG0001434	rna688	Sbay_3.131
OG0001435	rna1122	Sbay_2.343
OG0001436	rna5209	Sbay_14.405
OG0001437	rna5212	Sbay_14.407
OG0001438	rna5215	Sbay_14.409
OG0001439	rna3052	Sbay_6.289
OG0001440	rna5825	Sbay_16.39
OG0001441	rna5823	Sbay_16.37
OG0001442	rna5829	Sbay_16.43
OG0001443	rna5421	Sbay_15.181
OG0001444	rna5417	Sbay_15.177
OG0001445	rna5416	Sbay_15.176
OG0001446	rna4779	Sbay_13.472
OG0001447	rna4777	Sbay_13.470
OG0001448	rna4774	Sbay_13.466
OG0001449	rna4773	Sbay_13.465
OG0001450	rna4767	Sbay_13.460
OG0001451	rna4770	Sbay_13.462
OG0001452	rna4348	Sbay_13.34
OG0001453	rna4346	Sbay_13.32
OG0001454	rna4353	Sbay_13.39
OG0001455	rna4354	Sbay_13.40
OG0001456	rna4763	Sbay_13.453
OG0001457	rna6107	Sbay_16.339
OG0001458	rna6109	Sbay_16.342
OG0001459	rna1007	Sbay_2.221
OG0001460	rna1006	Sbay_2.220
OG0001461	rna3673	Sbay_11.249
OG0001462	rna3178	Sbay_6.154
OG0001463	rna3672	Sbay_11.248
OG0001464	rna3179	Sbay_6.153
OG0001465	rna5702	Sbay_8.336
OG0001466	rna5565	Sbay_8.201
OG0001467	rna4290	Sbay_10.545
OG0001468	rna4289	Sbay_10.544
OG0001469	rna4407	Sbay_13.104
OG0001470	rna4287	Sbay_10.542
OG0001471	rna3457	Sbay_11.27
OG0001472	rna3458	Sbay_11.28
OG0001473	rna4285	Sbay_10.540
OG0001474	rna3459	Sbay_11.29
OG0001475	rna3460	Sbay_11.30
OG0001476	rna4281	Sbay_10.536
OG0001477	rna3462	Sbay_11.32
OG0001478	rna4278	Sbay_10.533
OG0001479	rna4279	Sbay_10.534
OG0001480	rna2135	Sbay_7.200
OG0001481	rna2134	Sbay_7.199
OG0001482	rna2132	Sbay_7.197
OG0001483	rna5892	Sbay_16.108
OG0001484	rna256	Sbay_4.270
OG0001485	rna896	Sbay_4.202
OG0001486	rna2280	Sbay_7.355
OG0001487	rna2281	Sbay_7.356
OG0001488	rna4158	Sbay_10.397
OG0001489	rna4171	Sbay_10.411
OG0001490	rna3804	Sbay_10.51
OG0001491	rna2224	Sbay_7.302
OG0001492	rna3503	Sbay_11.76
OG0001493	rna3502	Sbay_11.75
OG0001494	rna5163	Sbay_14.356
OG0001495	rna4034	Sbay_10.272
OG0001496	rna5153	Sbay_14.342
OG0001497	rna4035	Sbay_10.273
OG0001498	rna580	Sbay_3.4
OG0001499	rna5156	Sbay_14.345
OG0001500	rna581	Sbay_3.5
OG0001501	rna582	Sbay_3.6
OG0001502	rna2020	Sbay_7.76
OG0001503	rna3890	Sbay_10.144
OG0001504	rna1834	Sbay_6.24
OG0001505	rna1831	Sbay_6.21
OG0001506	rna1828	Sbay_6.19
OG0001507	rna3898	Sbay_10.153
OG0001508	rna3900	Sbay_10.155
OG0001509	rna1822	Sbay_6.9
OG0001510	rna3903	Sbay_10.158
OG0001511	rna1821	Sbay_6.8
OG0001512	rna1819	Sbay_6.6
OG0001513	rna3542	Sbay_11.116
OG0001514	rna5937	Sbay_16.155
OG0001515	rna5936	Sbay_16.154
OG0001516	rna5935	Sbay_16.153
OG0001517	rna5932	Sbay_16.150
OG0001518	rna5661	Sbay_8.296
OG0001519	rna1409	Sbay_2.634
OG0001520	rna4431	Sbay_13.124
OG0001521	rna5782	Sbay_8.426
OG0001522	rna3166	Sbay_6.168
OG0001523	rna5779	Sbay_8.423
OG0001524	rna3188	Sbay_6.147
OG0001525	rna3189	Sbay_6.146
OG0001526	rna5967	Sbay_16.185
OG0001527	rna5966	Sbay_16.184
OG0001528	rna5628	Sbay_8.264
OG0001529	rna5964	Sbay_16.182
OG0001530	rna5629	Sbay_8.265
OG0001531	rna5633	Sbay_8.269
OG0001532	rna5634	Sbay_8.270
OG0001533	rna5640	Sbay_8.275
OG0001534	rna5641	Sbay_8.276
OG0001535	rna5955	Sbay_16.172
OG0001536	rna5648	Sbay_8.283
OG0001537	rna5245	Sbay_15.418
OG0001537	rna2822	Sbay_9.18
OG0001538	rna1860	Sbay_6.52
OG0001539	rna1852	Sbay_6.44
OG0001540	rna1851	Sbay_6.43
OG0001541	rna2722	Sbay_15.337
OG0001542	rna4991	Sbay_14.178
OG0001543	rna4988	Sbay_14.175
OG0001544	rna4983	Sbay_14.170
OG0001545	rna2728	Sbay_15.342
OG0001546	rna4982	Sbay_14.169
OG0001547	rna4979	Sbay_14.166
OG0001548	rna4977	Sbay_14.164
OG0001549	rna738	Sbay_4.35
OG0001550	rna4976	Sbay_14.163
OG0001551	rna4974	Sbay_14.160
OG0001552	rna4973	Sbay_14.159
OG0001553	rna737	Sbay_4.34
OG0001554	rna4970	Sbay_14.157
OG0001555	rna735	Sbay_4.32
OG0001556	rna734	Sbay_4.30
OG0001557	rna2777	Sbay_15.393
OG0001558	rna4672	Sbay_13.366
OG0001559	rna5855	Sbay_16.69
OG0001560	rna6172	Sbay_16.417
OG0001561	rna352	Sbay_4.378
OG0001562	rna351	Sbay_4.377
OG0001563	rna349	Sbay_4.375
OG0001565	rna4132	Sbay_10.372
OG0001566	rna3256	Sbay_12.71
OG0001567	rna3237	Sbay_12.51
OG0001568	rna3236	Sbay_12.50
OG0001569	rna3258	Sbay_12.74
OG0001570	rna3234	Sbay_12.48
OG0001571	rna3279	Sbay_12.98
OG0001572	rna3829	Sbay_10.79
OG0001573	rna3266	Sbay_12.84
OG0001574	rna3828	Sbay_10.78
OG0001575	rna4649	Sbay_13.345
OG0001576	rna4650	Sbay_13.346
OG0001577	rna842	Sbay_4.142
OG0001578	rna841	Sbay_4.141
OG0001579	rna840	Sbay_4.140
OG0001580	rna4655	Sbay_13.352
OG0001581	rna4362	Sbay_13.50
OG0001582	rna4363	Sbay_13.51
OG0001583	rna4364	Sbay_13.52
OG0001584	rna4365	Sbay_13.53
OG0001585	rna4367	Sbay_13.55
OG0001586	rna4331	Sbay_13.14
OG0001587	rna4332	Sbay_13.15
OG0001588	rna4312	Sbay_10.571
OG0001589	rna1605	Sbay_5.120
OG0001590	rna3389	Sbay_12.213
OG0001591	rna3388	Sbay_12.212
OG0001592	rna1603	Sbay_5.118
OG0001593	rna3386	Sbay_12.210
OG0001594	rna3385	Sbay_12.209
OG0001595	rna1602	Sbay_5.117
