Orthogroup	k_lactis_proteins	l_kluyveri_v2_proteins	l_thermotolerans_proteins	l_waltii_v3_proteins	n_castellii_proteins	s_bayanus_proteins	s_cerevisiae_proteins	s_kudriavzevii_proteins	s_mikatae_proteins	s_paradoxus_proteins	schizo_pombe_proteins
OG0000656	rna3171	SAKL-ORF2276	rna1944	Kwal_26.9370	rna5769	Sbay_10.497	rna4238	Skud_12.465	Smik_12.467	Spar_12.517	rna1745, rna331
OG0000657	rna3173	SAKL-ORF2270	rna1942	Kwal_26.9359	rna242	Sbay_4.193	rna887	Skud_4.198	Smik_4.178	Spar_4.223	rna3791, rna384
OG0000658	rna3174	SAKL-ORF2267	rna1941	Kwal_26.9355	rna241, rna5768	Sbay_4.194	rna888	Skud_4.199	Smik_4.179	Spar_4.224	rna6699
OG0000659	rna3190	SAKL-ORF4891	rna2196	Kwal_55.19808	rna1559	Sbay_2.70	rna163	Skud_2.55	Smik_2.67	Spar_2.76	rna3252, rna3941
OG0000660	rna3192	SAKL-ORF4893	rna2194	Kwal_55.19820	rna1560, rna4988	Sbay_12.202	rna3378	Skud_10.335	Smik_10.404	Spar_10.395	rna4978
OG0000661	rna3194	SAKL-ORF4898	rna2192	Kwal_55.19829	rna1561, rna4986	Sbay_2.69	rna162	Skud_2.54	Smik_2.66	Spar_2.73	rna2888
OG0000662	rna3200	SAKL-ORF4968	rna3211	Kwal_33.14380	rna1546, rna5004	Sbay_12.179	rna3356	Skud_10.313	Smik_10.379	Spar_10.368	rna2641
OG0000663	rna3233	SAKL-ORF475, SAKL-ORF5063	rna1052	Kwal_27.10652	rna3909	Sbay_2.21	rna119	Skud_2.12	Smik_2.24	Spar_2.28	rna5865
OG0000664	rna3235	SAKL-ORF5071	rna1055	Kwal_27.10675	rna3910	Sbay_2.22	rna120	Skud_2.13	Smik_2.25	Spar_2.29	rna1517, rna5344
OG0000665	rna3278	SAKL-ORF8245	rna1677	Kwal_26.8225	rna1330, rna5241	Sbay_11.180	rna3607	Skud_11.183	Smik_11.202	Spar_11.223	rna5913
OG0000666	rna3304	SAKL-ORF7228	rna4229	Kwal_27.11513	rna4893, rna4903	Sbay_14.323	rna5136	Skud_14.305	Smik_14.307	Spar_14.337	rna571
OG0000667	rna3324	SAKL-ORF7257	rna4247	Kwal_27.11456	rna4891, rna4904	Sbay_14.319	rna5131	Skud_14.302	Smik_14.304	Spar_14.334	rna2499
OG0000668	rna3329	SAKL-ORF7267	rna4254	Kwal_27.11440	rna2215, rna4883	Sbay_4.127	rna827	Skud_4.135	Smik_4.117	Spar_4.159	rna5955
OG0000669	rna3398	SAKL-ORF739	rna4983	Kwal_14.2026	rna2169	Sbay_5.270	rna1744	Skud_5.279	Smik_5.307	Spar_5.333	rna1642, rna4304
OG0000670	rna3431, rna3432	SAKL-ORF9357	rna989	Kwal_27.10384	rna2576	Sbay_13.449	rna4759	Skud_13.436	Smik_13.478	Spar_13.458	rna3766
OG0000671	rna3434	SAKL-ORF9353	rna991	Kwal_27.10388	rna1695, rna2577	Sbay_13.448	rna4758	Skud_13.435	Smik_13.477	Spar_13.457	rna5881
OG0000672	rna3451	SAKL-ORF3562	rna4081	Kwal_23.5534	rna689	Sbay_15.209	rna2599	Skud_8.78	Smik_8.90	Spar_8.95	rna1423, rna6276
OG0000673	rna3473	SAKL-ORF14261	rna106	Kwal_23.5058	rna2937, rna5693	Sbay_6.54	rna1862	Skud_6.66	Smik_6.73	Spar_6.85	rna2476
OG0000674	rna3505	SAKL-ORF3740	rna5304	Kwal_34.15996	rna4383, rna5112	Sbay_15.260	rna2651	Skud_8.129	Smik_8.142	Spar_8.149	rna753
OG0000675	rna3508	SAKL-ORF1541	rna2642	Kwal_27.11864	rna1838, rna2755	Sbay_16.265	rna6042	Skud_16.232	Smik_16.186	Spar_16.285	rna2702
OG0000676	rna3521	SAKL-ORF6459	rna2179	Kwal_55.19755	rna324, rna4538	Sbay_11.326	rna3746	Skud_11.327	Smik_11.353	Spar_11.382	rna4641
OG0000677	rna3525	SAKL-ORF9758	rna60	Kwal_23.5231	rna1025, rna3011, rna4030	Sbay_14.50	rna4867	Skud_14.48	Smik_14.42	Spar_14.46	
OG0000678	rna3541	SAKL-ORF209	rna2431	Kwal_47.17302	rna2053	Sbay_5.246	rna1719	Skud_5.253	Smik_5.271	Spar_5.298	rna2221, rna4197
OG0000679	rna3563	SAKL-ORF14206, SAKL-ORF1790	rna4513	Kwal_27.11039	rna2080	Sbay_16.322	rna6093	Skud_16.286	Smik_16.241	Spar_16.343	rna5742
OG0000680	rna3567	SAKL-ORF14211	rna81	Kwal_23.5148	rna2071	Sbay_6.67	rna1874	Skud_6.77	Smik_6.86	Spar_6.96	rna1685, rna542
OG0000681	rna3569	SAKL-ORF14213	rna83	Kwal_23.5142	rna2069	Sbay_6.65	rna1872	Skud_6.75	Smik_6.84	Spar_6.94	rna6720, rna6784
OG0000682	rna3581	SAKL-ORF14502, SAKL-ORF2607	rna5250	Kwal_33.15607	rna537	Sbay_13.514	rna4818	Skud_13.495	Smik_13.536	Spar_13.521	rna3287
OG0000683	rna3604	SAKL-ORF10975	rna3151	Kwal_33.14120	rna2417	Sbay_11.282	rna3703	Skud_11.284	Smik_11.310	Spar_11.338	rna4799, rna5897
OG0000684	rna3630	SAKL-ORF3097	rna864	Kwal_14.1042	rna3301, rna4142	Sbay_15.353	rna2738	Skud_8.218	Smik_8.238	Spar_8.251	rna3345
OG0000685	rna3658, rna4495	SAKL-ORF3158, SAKL-ORF6137, SAKL-ORF9132	rna3851	Kwal_47.18976		Sbay_11.3	rna3436	Skud_11.3	Smik_11.6	Spar_11.13	
OG0000686	rna3659	SAKL-ORF3172	rna390	Kwal_23.4026, Kwal_33.15545	rna3382	Sbay_16.40	rna5826	Skud_16.12	Smik_6.473	Spar_16.47	rna6465
OG0000687	rna3661	SAKL-ORF3180	rna393	Kwal_33.15528	rna3320	Sbay_10.129	rna3875	Skud_12.111	Smik_12.107	Spar_12.121	rna5830, rna6166
OG0000688	rna3675	SAKL-ORF3941	rna2234	Kwal_55.20000	rna3072, rna4580	Sbay_2.434	rna1217	Skud_4.529	Smik_4.517	Spar_4.642	rna6606
OG0000689	rna3685		rna2222	Kwal_55.19947	rna821, rna822	Sbay_2.425, Sbay_8.81		Skud_15.193, Skud_4.521	Smik_15.206, Smik_4.506	Spar_15.224	
OG0000690	rna3756	SAKL-ORF14726	rna1629	Kwal_26.8046	rna4176	Sbay_13.250	rna4552	Skud_13.229	Smik_13.252	Spar_13.243	rna2131, rna5706
OG0000691	rna3771	SAKL-ORF15196	rna4866	Kwal_27.11107	rna3523, rna5053	Sbay_16.127	rna5910	Skud_16.97	Smik_6.386	Spar_16.143	rna3398
OG0000692	rna3818	SAKL-ORF5228	rna560	Kwal_33.14810	rna1492	Sbay_2.67	rna160	Skud_2.52	Smik_2.64	Spar_2.71	rna198, rna5514
OG0000693	rna3843	SAKL-ORF5167	rna1094	Kwal_27.10837	rna1504, rna3929	Sbay_5.219	rna1696	Skud_5.225	Smik_5.246	Spar_5.273	rna671
OG0000694	rna3858	SAKL-ORF5137	rna1078	Kwal_27.10776	rna1513, rna3921	Sbay_5.229		Skud_5.234	Smik_5.254	Spar_5.281	rna5587, rna6881
OG0000695	rna3871	SAKL-ORF9641	rna3747	Kwal_55.22088	rna2980	Sbay_15.21	rna5268	Skud_15.15	Smik_15.15	Spar_15.31	rna1966, rna3732
OG0000696	rna3980	SAKL-ORF1678	rna2687	Kwal_27.12053	rna1813	Sbay_4.452	rna419	Skud_2.324	Smik_2.338	Spar_2.366	rna4830, rna5975
OG0000697	rna3994	SAKL-ORF1709	rna2701	Kwal_27.12109	rna1802	Sbay_4.439	rna407	Skud_2.313	Smik_2.327	Spar_2.353	rna1303, rna3087
OG0000698	rna4062	SAKL-ORF8129	rna1355	Kwal_26.6789	rna5345	Sbay_8.425	rna5781	Skud_15.536	Smik_15.551	Spar_15.588	rna3389, rna5931
OG0000699	rna4065	SAKL-ORF8121	rna1351	Kwal_26.6759	rna5349	Sbay_8.429	rna5785	Skud_15.540	Smik_15.555	Spar_15.592	rna2184, rna6717
OG0000700	rna4077	SAKL-ORF1806	rna1738	Kwal_26.8475	rna2702	Sbay_16.199	rna5982	Skud_16.169	Smik_16.125	Spar_16.214	rna1067, rna3284
OG0000701	rna4119	SAKL-ORF3485	rna1328, rna4630, rna4648	Kwal_23.6586, Kwal_26.6641, Kwal_26.6645, Kwal_26.9623, Kwal_26.9632, Kwal_27.12798, Kwal_48.19387							
OG0000702	rna4145	SAKL-ORF8829, SAKL-ORF8830, SAKL-ORF8832	rna5137	Kwal_0.70	rna940	Sbay_6.121	rna3215	Skud_10.142	Smik_10.194	Spar_10.199	
OG0000703	rna4170	SAKL-ORF10154, SAKL-ORF9935	rna1244	Kwal_56.22611	rna5560	Sbay_4.398	rna369	Skud_2.276	Smik_2.288, Smik_2.289	Spar_2.309	
OG0000704	rna4175	SAKL-ORF9088	rna1457	Kwal_26.7276	rna992	Sbay_6.182	rna3152	Skud_10.107	Smik_10.132	Spar_10.138	rna1145, rna3877
OG0000705	rna4187	SAKL-ORF2511	rna768	Kwal_26.9498	rna3391, rna4089	Sbay_7.581	rna2506	Skud_7.617	Smik_16.24	Spar_7.639	rna5908
OG0000706	rna4195	SAKL-ORF4952	rna4021	Kwal_47.18219	rna4999	Sbay_12.184	rna3362	Skud_10.318	Smik_10.384	Spar_10.373	rna1904, rna2202
OG0000707	rna4302	SAKL-ORF5421	rna227	Kwal_23.5996	rna1442, rna4029	Sbay_4.119	rna821	Skud_4.129	Smik_4.111	Spar_4.153	rna727
OG0000708	rna4341	SAKL-ORF15167	rna4874	Kwal_14.1554	rna5061	Sbay_4.510	rna473	Skud_2.381	Smik_2.392	Spar_2.426	rna263, rna2958
OG0000709	rna4398	SAKL-ORF13545	rna1439	Kwal_26.7184	rna4247	Sbay_15.129	rna5370	Skud_15.117	Smik_15.127	Spar_15.145	rna2164, rna6051
OG0000710	rna4399	SAKL-ORF13547	rna1440	Kwal_26.7187		Sbay_15.130	rna5371	Skud_15.118	Smik_15.128	Spar_15.146	rna2166, rna4309, rna5163
OG0000711	rna4423	SAKL-ORF9796	rna75		rna1060, rna3833	Sbay_2.149, Sbay_4.262			Smik_2.139, Smik_4.243	Spar_2.161, Spar_4.290	rna5624
OG0000712	rna4426	SAKL-ORF10502	rna1187	Kwal_56.22841	rna5530	Sbay_4.211	rna903	Skud_4.214	Smik_4.198	Spar_4.240	rna5134, rna6338
OG0000713	rna4452	SAKL-ORF148	rna2414	Kwal_47.17206	rna2046, rna2153	Sbay_7.74	rna2017	Skud_7.83	Smik_7.83	Spar_7.88	rna288
OG0000714	rna4483	SAKL-ORF15048	rna4917	Kwal_14.1741	rna3487	Sbay_4.500, Sbay_7.144	rna2079	Skud_7.148	Smik_7.148	Spar_7.154	rna360
OG0000715	rna4491	SAKL-ORF6145	rna3847	Kwal_47.19001	rna3720, rna4469	Sbay_5.122	rna1607	Skud_5.135	Smik_5.149	Spar_5.162	rna6580
OG0000716	rna4505	SAKL-ORF15709	rna314	Kwal_23.6429	rna3643, rna559		rna680	Skud_3.156	Smik_3.183	Spar_3.186	rna169, rna217
OG0000717	rna4583	SAKL-ORF916	rna4391	Kwal_56.23557	rna1991	Sbay_2.261	rna1049	Skud_4.360	Smik_4.345	Spar_4.407	rna5278, rna869
OG0000718	rna4592	SAKL-ORF8749	rna5167	Kwal_0.155	rna3217, rna905	Sbay_10.345		Skud_12.329	Smik_12.321	Spar_12.362	rna2278, rna6304
OG0000719	rna4638	SAKL-ORF1394	rna2572	Kwal_27.11569	rna1874	Sbay_10.319, Sbay_2.389		Skud_12.289	Smik_12.283, Smik_4.468	Spar_12.334, Spar_4.536	
OG0000720	rna4685, rna4686	SAKL-ORF9042	rna1475	Kwal_26.7380	rna978	Sbay_6.166	rna3168	Skud_10.122	Smik_10.150	Spar_10.153	rna2139
OG0000721	rna4734	SAKL-ORF3354	rna501	Kwal_33.15058	rna700	Sbay_7.477	rna2406	Skud_7.514	Smik_6.302	Spar_7.538	rna2065, rna4703
OG0000722	rna4763	SAKL-ORF4502	rna3638	Kwal_55.21600	rna3077, rna4571	Sbay_8.95	rna5461	Skud_15.207	Smik_15.221		rna1171, rna4748
OG0000723	rna4780	SAKL-ORF4551	rna3656	Kwal_55.21695	rna3091, rna4559	Sbay_8.107	rna5473	Skud_15.219	Smik_15.234	Spar_15.255	rna1032
OG0000724	rna4787	SAKL-ORF4565	rna3664	Kwal_55.21720	rna3095	Sbay_8.113	rna5479	Skud_15.230	Smik_15.243	Spar_15.263	rna2739, rna964
OG0000725	rna4794	SAKL-ORF4583	rna3671	Kwal_55.21750	rna331	Sbay_11.315	rna3735	Skud_11.316	Smik_11.342	Spar_11.370	rna368, rna3812
OG0000726	rna4858	SAKL-ORF91	rna2397	Kwal_55.20694	rna293, rna3129	Sbay_10.42	rna3797	Skud_12.37	Smik_12.26	Spar_12.39	rna404
OG0000727	rna4894	SAKL-ORF933	rna4383	Kwal_56.23583	rna1985	Sbay_2.268	rna1056	Skud_4.369	Smik_4.354	Spar_4.416	rna3695, rna5297
OG0000728	rna4929	SAKL-ORF1033	rna4348	Kwal_56.23687	rna1967, rna2117	Sbay_2.290	rna1075	Skud_4.388	Smik_4.373	Spar_4.436	rna2613
OG0000729	rna4950	SAKL-ORF14851	rna4453	Kwal_56.23247	rna4093, rna4120	Sbay_8.229	rna5590	Skud_15.338	Smik_15.354	Spar_15.368	rna5736
OG0000730	rna4968	SAKL-ORF13232, SAKL-ORF594	rna5037	Kwal_14.2234	rna188	Sbay_7.300	rna2222	Skud_7.303	Smik_7.306	Spar_7.316	rna2904
OG0000731	rna5067	SAKL-ORF8778	rna5158	Kwal_14.2632	rna5697	Sbay_10.348	rna4107	Skud_12.332	Smik_12.324	Spar_12.365	rna1257, rna2994
OG0000732	rna5072	SAKL-ORF8792	rna5153	Kwal_0.138	rna3211	Sbay_7.103	rna2045	Skud_7.110	Smik_7.110	Spar_7.117	rna3184, rna3489
OG0000733	rna5090	SAKL-ORF13392, SAKL-ORF5425	rna1385	Kwal_26.6940	rna3894	Sbay_8.402	rna5762	Skud_15.515	Smik_15.532	Spar_15.567	rna3064
OG0000734	rna5102	SAKL-ORF6856	rna1734	Kwal_26.8461	rna4765	Sbay_14.228	rna5042	Skud_14.221	Smik_14.216	Spar_14.227	rna4565, rna6095
OG0000735	rna5123	SAKL-ORF4689, SAKL-ORF6802	rna2877	Kwal_23.2810, Kwal_47.16592	rna4750	Sbay_14.215	rna5030	Skud_14.207	Smik_14.203	Spar_14.214	
OG0000736	rna5209	SAKL-ORF2735	rna853	Kwal_14.993	rna3061	Sbay_11.142	rna3567	Skud_11.145	Smik_11.157	Spar_11.176	rna2039, rna3487
OG0000737	rna5273	SAKL-ORF5552	rna174	Kwal_23.5785	rna1407, rna2690	Sbay_9.153	rna2944	Skud_9.122	Smik_9.143	Spar_9.134	rna6908
OG0000738	rna5283, rna5284	SAKL-ORF5642	rna2322	Kwal_55.20354	rna1385	Sbay_9.169	rna2961	Skud_9.138	Smik_9.160	Spar_9.151	rna5460
OG0000739	rna5288	SAKL-ORF5638	rna2319	Kwal_55.20347	rna3845	Sbay_9.173	rna2965	Skud_9.144	Smik_9.165	Spar_9.162	rna1123, rna6270
OG0000740	rna5291	SAKL-ORF6726	rna614	Kwal_33.14605	rna2327	Sbay_15.331	rna2716	Skud_8.195	Smik_8.215	Spar_8.226	rna465, rna6570
OG0000741		SAKL-ORF14530	rna5377	Kwal_23.2781, Kwal_55.19541	rna3700, rna3701, rna5148, rna5795, rna711, rna712	Sbay_16.531					rna86
OG0000742		SAKL-ORF6556	rna686	Kwal_23.4540	rna3164	Sbay_4.14	rna722	Skud_4.24	Smik_4.11	Spar_4.36	rna2873, rna2894, rna2941
OG0000743				Kwal_11.654, Kwal_15.2641, Kwal_2.444, Kwal_23.3697, Kwal_27.11206, Kwal_31.12910, Kwal_34.15694, Kwal_39.16431, Kwal_47.19366, Kwal_47.19372, Kwal_55.22259, Kwal_60.24929							
OG0000744	rna0, rna1187, rna1477, rna2626, rna2935, rna2936, rna4053	SAKL-ORF3777	rna5315	Kwal_34.15959							rna6868
OG0000745	rna5	SAKL-ORF3322	rna513	Kwal_33.15013	rna3328	Sbay_7.434	rna2358	Skud_7.466	Smik_6.247	Spar_7.477	rna5326
OG0000746	rna9	SAKL-ORF8965	rna5082	Kwal_14.2435	rna967	Sbay_6.149	rna3186	Skud_10.170	Smik_10.167	Spar_10.171	rna677
OG0000747	rna14	SAKL-ORF6398	rna2159	Kwal_55.19649	rna4523	Sbay_9.32	rna2834	Skud_9.13	Smik_9.14	Spar_9.17	rna6612
OG0000748	rna16	SAKL-ORF6402	rna2161	Kwal_55.19661	rna4525	Sbay_9.35	rna2836	Skud_9.15	Smik_9.16	Spar_9.19	rna2694
OG0000749	rna27	SAKL-ORF6288	rna3790	Kwal_47.19272	rna3679	Sbay_7.16	rna1960	Skud_7.22	Smik_7.16	Spar_7.23	rna981
OG0000750	rna28	SAKL-ORF6285	rna3791	Kwal_47.19268	rna4499	Sbay_12.9	rna1932	Skud_6.139	Smik_7.368	Spar_6.163	rna182
OG0000751	rna29	SAKL-ORF6278	rna3792	Kwal_47.19265	rna3680	Sbay_7.17	rna1961	Skud_7.23	Smik_7.17	Spar_7.24	rna3802
OG0000752	rna30	SAKL-ORF6277	rna3793	Kwal_47.19263	rna3681	Sbay_7.18	rna1962	Skud_7.24	Smik_7.18	Spar_7.25	rna5531
OG0000753	rna31	SAKL-ORF6274	rna3794	Kwal_47.19262	rna4498	Sbay_7.19	rna1963	Skud_7.25	Smik_7.19	Spar_7.26	rna957
OG0000754	rna32	SAKL-ORF6273	rna3795	Kwal_47.19258	rna4497	Sbay_7.20	rna1964	Skud_7.26	Smik_7.20	Spar_7.27	rna1318
OG0000755	rna35	SAKL-ORF6266	rna3798	Kwal_47.19247	rna3683	Sbay_7.22	rna1966	Skud_7.28	Smik_7.22	Spar_7.29	rna3835
OG0000756	rna36	SAKL-ORF6263	rna3799	Kwal_47.19244	rna3684	Sbay_7.23	rna1967	Skud_7.29	Smik_7.23	Spar_7.30	rna3786
OG0000757	rna38	SAKL-ORF6259	rna3801	Kwal_47.19236	rna3685	Sbay_7.24	rna1968	Skud_7.30	Smik_7.24	Spar_7.31	rna3836
OG0000758	rna39	SAKL-ORF6256	rna3802	Kwal_47.19231	rna3686	Sbay_7.25	rna1970	Skud_7.31	Smik_7.25	Spar_7.32	rna4888
OG0000759	rna41	SAKL-ORF6254	rna3804	Kwal_47.19220	rna4494	Sbay_12.13	rna1928	Skud_6.135	Smik_7.364	Spar_6.159	rna3202
OG0000760	rna42	SAKL-ORF6250	rna3805	Kwal_47.19214	rna3687	Sbay_7.26	rna1971	Skud_7.32	Smik_7.26	Spar_7.33	rna5952
OG0000761	rna44	SAKL-ORF6248	rna3807	Kwal_47.19210	rna3689	Sbay_7.28	rna1973	Skud_7.34	Smik_7.28	Spar_7.35	rna6348
OG0000762	rna45	SAKL-ORF6246	rna3809	Kwal_47.19204	rna4578	Sbay_12.14	rna1927	Skud_6.134	Smik_7.363	Spar_6.158	rna1375
OG0000763	rna50	SAKL-ORF6235	rna3813	Kwal_47.19180	rna4489	Sbay_5.143	rna1626	Skud_5.152	Smik_5.167	Spar_5.179	rna3875
OG0000764	rna51	SAKL-ORF6230	rna3814	Kwal_47.19173	rna3693	Sbay_7.32	rna1977	Skud_7.38	Smik_7.32	Spar_7.39	rna6190
OG0000765	rna54	SAKL-ORF6225	rna3817	Kwal_47.19170	rna4488	Sbay_5.142	rna1625	Skud_5.151	Smik_5.166	Spar_5.178	rna2451
OG0000766	rna59	SAKL-ORF6208	rna3822	Kwal_47.19146	rna3697, rna4483	Sbay_7.38		Skud_7.47	Smik_7.42	Spar_7.45	rna119
OG0000767	rna61	SAKL-ORF6203	rna3825	Kwal_47.19116	rna3703	Sbay_5.134	rna1617	Skud_5.145	Smik_5.159	Spar_5.172	rna4398
OG0000768	rna64	SAKL-ORF6196	rna3828	Kwal_47.19107	rna3706	Sbay_7.41	rna1985	Skud_7.50	Smik_7.45	Spar_7.48	rna6767
OG0000769	rna66	SAKL-ORF6191	rna3830	Kwal_47.19100	rna3711	Sbay_7.43	rna1987	Skud_7.52	Smik_7.47	Spar_7.50	rna4067
OG0000770	rna68	SAKL-ORF6179	rna3833	Kwal_47.19087	rna3709	Sbay_7.45	rna1989	Skud_7.54	Smik_7.49	Spar_7.52	rna4094
OG0000771	rna70	SAKL-ORF6176	rna3835	Kwal_47.19079	rna3707	Sbay_7.49	rna1991	Skud_7.56	Smik_7.51	Spar_7.54	rna5841
OG0000772	rna72	SAKL-ORF4194	rna3931	Kwal_47.18622	rna5208	Sbay_13.153	rna4457	Skud_13.145	Smik_13.143	Spar_13.145	rna4191
OG0000773	rna77	SAKL-ORF4223	rna3921	Kwal_47.18678	rna1271	Sbay_2.594	rna1373	Skud_4.692	Smik_4.689	Spar_4.771	rna5525
OG0000774	rna80	Mod_transcript_63	rna3924	Kwal_47.18669	rna5203	Sbay_5.16	rna1517	Skud_5.36	Smik_5.34	Spar_5.22	rna5444
OG0000775	rna81	SAKL-ORF4233	rna3925	Kwal_47.18662	rna5202	Sbay_5.17	rna1518	Skud_5.37	Smik_5.35	Spar_5.23	rna3474
OG0000776	rna82	SAKL-ORF4234	rna3919	Kwal_47.18684	rna1269	Sbay_2.592	rna1371	Skud_4.690	Smik_4.687	Spar_4.769	rna5286
OG0000777	rna85	SAKL-ORF4241	rna3917	Kwal_47.18697	rna5201	Sbay_5.19	rna1520	Skud_5.39	Smik_5.37	Spar_5.26	rna6004
OG0000778	rna89	SAKL-ORF4249	rna3911	Kwal_47.18726	rna1265	Sbay_2.589	rna1368	Skud_4.687	Smik_4.684	Spar_4.766	rna2856
OG0000779	rna93	SAKL-ORF4256	rna3906	Kwal_47.18741	rna1263	Sbay_2.587	rna1366	Skud_4.685	Smik_4.682	Spar_4.764	rna680
OG0000780	rna95	Mod_transcript_62	rna3904	Kwal_47.18745	rna1261	Sbay_2.585	rna1364	Skud_4.683	Smik_4.680	Spar_4.762	rna6920
OG0000781	rna96	SAKL-ORF4260	rna3903	Kwal_47.18748	rna5198	Sbay_8.208	rna5572	Skud_15.321	Smik_15.337	Spar_15.350	rna2423
OG0000782	rna97	SAKL-ORF4262	rna3902	Kwal_47.18751	rna1260	Sbay_2.584	rna1363	Skud_4.682	Smik_4.679	Spar_4.761	rna1812
OG0000783	rna100	SAKL-ORF4268	rna3899	Kwal_47.18763	rna5195	Sbay_8.211	rna5575	Skud_15.324	Smik_15.340	Spar_15.353	rna4106
OG0000784	rna102	SAKL-ORF4273	rna3897	Kwal_47.18776	rna5192	Sbay_8.206	rna5570	Skud_15.319	Smik_15.335	Spar_15.348	rna4862
OG0000785	rna106	SAKL-ORF14089	rna4547	Kwal_14.1411	rna4846	Sbay_10.452	rna4209	Skud_12.436	Smik_12.439	Spar_12.489	rna1872
OG0000786	rna111	SAKL-ORF14078	rna4541	Kwal_14.1437	rna211	Sbay_7.327	rna2253	Skud_7.339	Smik_6.127	Spar_7.354	rna5811
OG0000787	rna114	SAKL-ORF14069, SAKL-ORF2999	rna4538	Kwal_14.1457	rna213	Sbay_7.329	rna2255	Skud_7.342	Smik_6.129	Spar_7.356	
OG0000788	rna116	SAKL-ORF14062	rna4536	Kwal_14.1472	rna5748	Sbay_10.456	rna4213	Skud_12.440	Smik_12.443	Spar_12.493	rna5417
OG0000789	rna120	SAKL-ORF14045	rna4578	Kwal_14.1263	rna5750	Sbay_7.336	rna2263	Skud_7.352	Smik_6.138	Spar_7.366	rna5036
OG0000790	rna128	SAKL-ORF14793	rna1609	Kwal_26.7948	rna500	Sbay_11.239	rna3664	Skud_11.238	Smik_11.263	Spar_11.288	rna3707
OG0000791	rna129	SAKL-ORF14194	rna4517	Kwal_27.11056	rna364	Sbay_16.326	rna6097	Skud_16.290	Smik_16.245	Spar_16.348	rna4561
OG0000792	rna136	SAKL-ORF14170	rna4528	Kwal_14.1504	rna2964	Sbay_7.95	rna2037	Skud_7.103	Smik_7.103	Spar_7.109	rna6162
OG0000793	rna137	SAKL-ORF14169	rna4529	Kwal_14.1498	rna2963	Sbay_7.96	rna2039	Skud_7.104	Smik_7.104	Spar_7.111	rna3233
OG0000794	rna141	SAKL-ORF1424	rna2588	Kwal_27.11644	rna2785	Sbay_4.47	rna750	Skud_4.56	Smik_4.39	Spar_4.64	rna6136
OG0000795	rna151		rna1359	Kwal_26.6810	rna768, rna779	Sbay_1.16	rna20	Skud_1.12	Smik_1.15	Spar_1.19	rna5743
OG0000796	rna154	SAKL-ORF8160	rna1362	Kwal_26.6824	rna5336	Sbay_8.418	rna5775	Skud_15.529	Smik_15.545	Spar_15.580	rna2403
OG0000797	rna155	SAKL-ORF8161	rna1363	Kwal_26.6829	rna770	Sbay_1.18	rna22	Skud_1.14	Smik_1.17	Spar_1.21	rna6233
OG0000798	rna156	SAKL-ORF8162	rna1364	Kwal_26.6831	rna771	Sbay_1.19	rna23	Skud_1.15	Smik_1.18	Spar_1.22	rna4190
OG0000799	rna157	SAKL-ORF8164	rna1365	Kwal_26.6833	rna772	Sbay_1.20	rna24	Skud_1.16	Smik_1.19	Spar_1.23	rna4718
OG0000800	rna159	SAKL-ORF8170	rna1367	Kwal_26.6844	rna5334	Sbay_8.415	rna5773	Skud_15.527	Smik_15.543	Spar_15.578	rna4835
OG0000801	rna160	SAKL-ORF8174	rna1368	Kwal_26.6850	rna773	Sbay_1.21	rna25	Skud_1.17	Smik_1.20	Spar_1.24	rna2156
OG0000802	rna162	SAKL-ORF8176	rna1370	Kwal_26.6858	rna5332	Sbay_8.413	rna5771	Skud_15.525	Smik_15.541	Spar_15.576	rna5111
OG0000803	rna163	SAKL-ORF9707	rna3718	Kwal_55.21955	rna2999	Sbay_15.38	rna5284	Skud_15.31	Smik_15.31	Spar_15.48	rna2414
OG0000804	rna171	SAKL-ORF13475	rna1414	Kwal_26.7067	rna5352	Sbay_8.375	rna5738	Skud_15.491	Smik_15.504	Spar_15.537	rna552
OG0000805	rna172	SAKL-ORF13477	rna1415	Kwal_26.7070	rna4265	Sbay_1.40	rna44	Skud_1.35	Smik_1.40	Spar_1.43	rna5120
OG0000806	rna173	SAKL-ORF13480	rna1416	Kwal_26.7082	rna5353	Sbay_1.41	rna46	Skud_1.36	Smik_1.41	Spar_1.44	rna524
OG0000807	rna180	SAKL-ORF1374	rna3229	Kwal_23.3129	rna1882	Sbay_2.380	rna1160	Skud_4.474	Smik_4.459	Spar_4.526	rna4410
OG0000808	rna181	SAKL-ORF1371	rna3231	Kwal_23.3135	rna1883	Sbay_10.324	rna4087	Skud_12.297	Smik_12.290	Spar_12.341	rna1053
OG0000809	rna182	SAKL-ORF1370	rna3232	Kwal_23.3137	rna1885	Sbay_2.379	rna1159	Skud_4.473	Smik_4.458	Spar_4.525	rna2045
OG0000810	rna184	SAKL-ORF1366	rna3235	Kwal_23.3146	rna1888	Sbay_2.376	rna1152	Skud_4.470	Smik_4.454	Spar_4.520	rna2271
OG0000811	rna189	SAKL-ORF14913	rna4431	Kwal_56.23350	rna3466	Sbay_10.386	rna4147	Skud_12.372	Smik_12.368	Spar_12.410	rna6837
OG0000812	rna1410, rna193	SAKL-ORF14922	rna4426	Kwal_56.23371	rna4130	Sbay_10.390	rna4151	Skud_12.376	Smik_12.373	Spar_12.415	
OG0000813	rna199	SAKL-ORF581	rna5044	Kwal_14.2258	rna179	Sbay_7.435	rna2359	Skud_7.467	Smik_6.248	Spar_7.478	rna5721
