Orthogroup	s_cerevisiae_proteins	n_castellii_proteins
OG0000609	rna717	rna3159, rna4654
OG0000610	rna4933	rna4646
OG0000611	rna4930	rna4643
OG0000612	rna3788	rna299
OG0000613	rna1757	rna384
OG0000614	rna3368	rna4994
OG0000615	rna892	rna236
OG0000616	rna5260	rna3790, rna2974
OG0000618	rna1921	rna3844
OG0000619	rna6276	rna1585
OG0000620	rna887	rna242
OG0000621	rna3378	rna1560, rna4988
OG0000622	rna162	rna1561, rna4986
OG0000623	rna3356	rna1546, rna5004
OG0000624	rna108	rna3968
OG0000625	rna119	rna3909
OG0000626	rna120	rna3910
OG0000627	rna3607	rna1330, rna5241
OG0000628	rna5136	rna4893, rna4903
OG0000629	rna5131	rna4891, rna4904
OG0000630	rna827	rna4883, rna2215
OG0000631	rna1019	rna2019
OG0000632	rna1744	rna2169
OG0000633	rna4759	rna2576
OG0000634	rna2604	rna151
OG0000635	rna2599	rna689
OG0000636	rna2651	rna5112, rna4383
OG0000637	rna6042	rna1838, rna2755
OG0000638	rna3746	rna324, rna4538
OG0000639	rna6093	rna2080
OG0000640	rna1874	rna2071
OG0000641	rna1872	rna2069
OG0000642	rna4818	rna537
OG0000643	rna3703	rna2417
OG0000644	rna2738	rna3301, rna4142
OG0000646	rna5826	rna3382
OG0000647	rna3875	rna3320
OG0000648	rna1217	rna4580, rna3072
OG0000649	rna5447	rna4584
OG0000650	rna222	rna3811
OG0000651	rna5910	rna3523, rna5053
OG0000652	rna5907	rna5048
OG0000653	rna160	rna1492
OG0000654	rna1696	rna1504, rna3929
OG0000656	rna5268	rna2980
OG0000657	rna419	rna1813
OG0000658	rna407	rna1802
OG0000659	rna5781	rna5345
OG0000660	rna5785	rna5349
OG0000661	rna5982	rna2702
OG0000662	rna5617	rna1769, rna2695
OG0000663	rna3215	rna940
OG0000664	rna369	rna5560
OG0000665	rna2506	rna4089, rna3391
OG0000666	rna3362	rna4999
OG0000667	rna473	rna5061
OG0000668	rna469	rna3513, rna5066
OG0000669	rna5370	rna4247
OG0000671	rna237	rna3834
OG0000672	rna903	rna5530
OG0000673	rna3888	rna2916
OG0000674	rna2017	rna2046, rna2153
OG0000675	rna2160	rna593
OG0000676	rna1607	rna4469, rna3720
OG0000677	rna1049	rna1991
OG0000678	rna3168	rna978
OG0000679	rna2406	rna700
OG0000680	rna5461	rna3077, rna4571
OG0000681	rna5473	rna3091, rna4559
OG0000682	rna5479	rna3095
OG0000683	rna5484	rna330, rna4549
OG0000684	rna3735	rna331
OG0000685	rna3797	rna3129, rna293
OG0000686	rna1056	rna1985
OG0000687	rna1075	rna2117, rna1967
OG0000688	rna1081	rna1944
OG0000689	rna5590	rna4093, rna4120
OG0000690	rna2222	rna188
OG0000691	rna2681	rna4416
OG0000692	rna2045	rna3211
OG0000693	rna5762	rna3894
OG0000694	rna5032	rna4754
OG0000695	rna5030	rna4750
OG0000696	rna3616	rna1312, rna483
OG0000697	rna3620	rna485
OG0000698	rna3567	rna3061
OG0000699	rna2944	rna1407, rna2690
OG0000700	rna2961	rna1385
OG0000701	rna2965	rna3845
OG0000702	rna2716	rna2327
OG0000704	rna1835	rna2913
OG0000705	rna2870, rna2869	rna2254, rna2896
OG0000707	rna1558, rna625	rna868
OG0000708	rna1411, rna5007	rna4726
OG0000711	rna2358	rna3328
OG0000712	rna3186	rna967
OG0000713	rna2834	rna4523
OG0000714	rna2836	rna4525
OG0000715	rna1960	rna3679
OG0000716	rna1932	rna4499
OG0000717	rna1961	rna3680
OG0000718	rna1962	rna3681
OG0000719	rna1963	rna4498
OG0000720	rna1964	rna4497
OG0000721	rna1965	rna3682
OG0000722	rna1966	rna3683
OG0000723	rna1967	rna3684
OG0000724	rna1968	rna3685
OG0000725	rna1970	rna3686
OG0000726	rna1928	rna4494
OG0000727	rna1971	rna3687
OG0000728	rna1973	rna3689
OG0000729	rna1927	rna4578
OG0000730	rna1925	rna4492
OG0000731	rna1924	rna3691, rna4491
OG0000732	rna1626	rna4489
OG0000733	rna1977	rna3693
OG0000734	rna1625	rna4488
OG0000735	rna1982	rna3697
OG0000736	rna1617	rna3703
OG0000737	rna1985	rna3706
OG0000738	rna1987	rna3711
OG0000739	rna1991	rna3707
OG0000740	rna4457	rna5208
OG0000741	rna4459	rna5207
OG0000742	rna1373	rna1271
OG0000743	rna1517	rna5203
OG0000744	rna1518	rna5202
OG0000745	rna1371	rna1269
OG0000746	rna1520	rna5201
OG0000747	rna1368	rna1265
OG0000748	rna1366	rna1263
OG0000749	rna1364	rna1261
OG0000750	rna5572	rna5198
OG0000751	rna1363	rna1260
OG0000752	rna5575	rna5195
OG0000753	rna5570	rna5192
OG0000754	rna4209	rna4846
OG0000755	rna2252	rna357, rna210
OG0000756	rna2253	rna211
OG0000757	rna4212	rna5747
OG0000758	rna2255	rna213
OG0000759	rna4213	rna5748
OG0000760	rna2263	rna5750
OG0000761	rna6097	rna364
OG0000762	rna6099	rna2175
OG0000763	rna2037	rna2964
OG0000764	rna2039	rna2963
OG0000765	rna750	rna2785
OG0000766	rna749	rna2784
OG0000767	rna20	rna768, rna779
OG0000768	rna5775	rna5336
OG0000769	rna22	rna770
OG0000770	rna23	rna771
OG0000771	rna24	rna772
OG0000772	rna5773	rna5334
OG0000773	rna25	rna773
OG0000774	rna5772	rna5333
OG0000775	rna5284	rna2999
OG0000776	rna5738	rna5352
OG0000777	rna44	rna4265
OG0000778	rna46	rna5353
OG0000779	rna1160	rna1882
OG0000780	rna4087	rna1883
OG0000781	rna1159	rna1885
OG0000782	rna4147	rna3466
OG0000783	rna4151	rna4130
OG0000784	rna2359	rna179
OG0000785	rna2157	rna3115
OG0000786	rna2184	rna165
OG0000787	rna2185	rna164
OG0000788	rna2186	rna163
OG0000789	rna2187	rna162
OG0000790	rna206	rna347
OG0000791	rna2194	rna159
OG0000792	rna2193	rna158
OG0000793	rna2192	rna352
OG0000794	rna2477	rna3284
OG0000795	rna2476	rna4061
OG0000796	rna2756	rna3285
OG0000797	rna2755	rna3286
OG0000798	rna2753	rna3287
OG0000799	rna2751	rna3289
OG0000800	rna2750	rna3290
OG0000801	rna2749	rna3292
OG0000802	rna2470	rna4055
OG0000803	rna2469	rna4050
OG0000804	rna3709	rna2421
OG0000805	rna3710	rna2422
OG0000806	rna3711	rna2423
OG0000807	rna3116	rna2429
OG0000808	rna3114	rna5590
OG0000809	rna2508	rna2979
OG0000810	rna3718	rna2430
OG0000811	rna3719	rna2432
OG0000812	rna3720	rna2433
OG0000813	rna3721	rna2434
OG0000814	rna3076	rna5619
OG0000815	rna3078	rna5618
OG0000816	rna3079	rna5617
OG0000817	rna3476	rna2454
OG0000818	rna3477	rna2453
OG0000819	rna3086	rna2452
OG0000820	rna3479	rna2450
OG0000821	rna3482	rna5608
OG0000822	rna3089	rna2447
OG0000823	rna3090	rna5607
OG0000824	rna3484	rna2445
OG0000825	rna1291	rna4407
OG0000826	rna5444	rna4587
OG0000827	rna1429	rna825
OG0000828	rna5291	rna3006
OG0000829	rna2562	rna515
OG0000830	rna5497	rna4540
OG0000831	rna3744	rna326
OG0000832	rna5494	rna4543
OG0000833	rna3743	rna327
OG0000834	rna3741	rna336
OG0000835	rna5492	rna337
OG0000836	rna5491	rna4545
OG0000837	rna3739	rna332
OG0000838	rna5486	rna4548
OG0000839	rna3316	rna1362
OG0000840	rna1902	rna2336
OG0000841	rna593	rna3042
OG0000842	rna73	rna5743
OG0000843	rna2199	rna667
OG0000844	rna75	rna5746
OG0000845	rna2757	rna3283
OG0000846	rna2760	rna3281
OG0000847	rna2767	rna3276
OG0000848	rna2483	rna4065
OG0000849	rna2773	rna4302
OG0000850	rna2774	rna4323
OG0000851	rna2775	rna4322
OG0000852	rna4785	rna4321
OG0000853	rna2485	rna4070
OG0000854	rna2486	rna4071
OG0000855	rna2488	rna4319
OG0000856	rna2490	rna4074
OG0000857	rna2491	rna4075
OG0000858	rna4791	rna4313
OG0000859	rna4793	rna4311
OG0000860	rna4795	rna4079, rna4309
OG0000861	rna4797	rna3401
OG0000862	rna4811	rna3388
OG0000863	rna4810	rna3389
OG0000864	rna1790	rna662
OG0000865	rna1791	rna2397
OG0000866	rna265	rna5489
OG0000867	rna963	rna1085
OG0000868	rna5396	rna920
OG0000869	rna1883	rna3204
OG0000870	rna5391	rna3202
OG0000871	rna1881	rna3201
OG0000872	rna5389	rna925
OG0000873	rna5388	rna926
OG0000874	rna609	rna4827
OG0000875	rna617	rna873
OG0000876	rna1562	rna4838
OG0000877	rna1561	rna4839
OG0000878	rna627	rna870
OG0000879	rna1556	rna4915
OG0000880	rna623	rna867
OG0000881	rna5002	rna4729
OG0000882	rna5000	rna4731
OG0000883	rna5013	rna4732
OG0000884	rna5015	rna4735
OG0000885	rna5016	rna4736
OG0000886	rna5017	rna4737
OG0000887	rna2414	rna730, rna3340
OG0000888	rna3273	rna3338
OG0000889	rna2083	rna3491
OG0000890	rna1610	rna4477
OG0000891	rna1992	rna3714
OG0000892	rna1380	rna5209
OG0000893	rna1383	rna5210
OG0000894	rna4455	rna5212
OG0000895	rna1384	rna4203
OG0000896	rna1385	rna4204
OG0000897	rna4451	rna5216
OG0000898	rna1386	rna4205
OG0000899	rna4450	rna4206
OG0000900	rna5266	rna2975
OG0000901	rna4445	rna5221
OG0000902	rna4444	rna5222
OG0000903	rna4443	rna5223
OG0000904	rna1399	rna4219
OG0000905	rna1400	rna4220
OG0000906	rna1403	rna4222
OG0000907	rna4435	rna5232
OG0000908	rna1405	rna4224
OG0000909	rna1406	rna4225
OG0000910	rna5870	rna83
OG0000911	rna5875	rna88
OG0000912	rna2071	rna89, rna3573
OG0000913	rna5877	rna90
OG0000914	rna5878	rna91
OG0000915	rna5879	rna92
OG0000916	rna2072	rna3574
OG0000917	rna2073	rna3575
OG0000918	rna2074	rna3576
OG0000919	rna5880	rna93
OG0000920	rna5881	rna94
OG0000921	rna5882	rna95
OG0000922	rna2138	rna3579
OG0000923	rna5886	rna98
OG0000924	rna3465	rna267
OG0000925	rna4277	rna5804
OG0000926	rna3470	rna262
OG0000927	rna3473	rna5801
OG0000928	rna4272	rna3704
OG0000929	rna3474	rna260
OG0000930	rna4268	rna5799
OG0000931	rna4267	rna5798
OG0000932	rna868	rna259
OG0000933	rna4259	rna5791
OG0000934	rna874	rna256
OG0000935	rna5735	rna1689, rna2591
OG0000936	rna4256	rna5788
OG0000937	rna4255	rna5787
OG0000938	rna877	rna258
OG0000939	rna6278	rna1588
OG0000940	rna6280	rna1591
OG0000941	rna6284	rna1595
OG0000942	rna6285	rna1596
OG0000943	rna6286	rna1597
OG0000944	rna2792	rna658
OG0000945	rna3412	rna654
OG0000946	rna3410	rna5860
OG0000947	rna2789	rna653
OG0000948	rna3409	rna5861
OG0000949	rna3408	rna5862
OG0000950	rna3406	rna5863
OG0000951	rna2788	rna651
OG0000952	rna3405	rna5864
OG0000953	rna3404	rna5856
OG0000954	rna3400	rna5852
OG0000955	rna3399	rna5850
OG0000956	rna2781	rna647
OG0000957	rna2780	rna645
OG0000958	rna3398	rna5849
OG0000959	rna4377	rna641
OG0000960	rna3028	rna3658
OG0000961	rna3396	rna5848
OG0000962	rna4379	rna639
OG0000963	rna3392	rna636
OG0000964	rna4307	rna5842
OG0000965	rna4390	rna627
OG0000966	rna4391	rna626
OG0000967	rna4399	rna287
OG0000968	rna4300	rna5831
OG0000969	rna4299	rna5829
OG0000970	rna4401	rna285
OG0000971	rna4297	rna5826, rna5838
OG0000972	rna4295	rna5824
OG0000973	rna5566	rna5189
OG0000974	rna1361	rna1258
OG0000975	rna4206	rna353
OG0000976	rna2245	rna206
OG0000977	rna4204	rna360
OG0000978	rna2238	rna199
OG0000979	rna4197	rna198
OG0000980	rna4196	rna5714
OG0000981	rna4194	rna5711
OG0000982	rna2227	TCONS_novel_00000036_1-frame_3
OG0000983	rna3455	rna4856
OG0000984	rna3325	rna4855
OG0000985	rna958	rna1081
OG0000986	rna257	rna5496
OG0000987	rna956	rna1079
OG0000988	rna952	rna1074
OG0000989	rna247	rna1071
OG0000990	rna3486	rna2443
OG0000991	rna3488	rna2440
OG0000992	rna3102	rna5598
OG0000993	rna3103	rna2436
OG0000994	rna635	rna2462
OG0000995	rna5312	rna3037
OG0000996	rna1437	rna5567
OG0000997	rna4231	rna231, rna5761
OG0000998	rna2273	rna225
OG0000999	rna2271	rna222
OG0001000	rna4719	rna2610
OG0001001	rna4718	rna2611
OG0001002	rna4717	rna2612
OG0001003	rna6149	rna1154
OG0001004	rna6148	rna1153
OG0001005	rna6147	rna1152
OG0001006	rna6144	rna1149
OG0001007	rna4753	rna3107
OG0001008	rna5356	rna1693
OG0001010	rna345	rna5408
OG0001011	rna6167	rna1173
OG0001012	rna6164	rna5414
OG0001013	rna6160	rna1168
OG0001014	rna336	rna1166
OG0001015	rna334	rna5422
OG0001016	rna6155	rna5424
OG0001017	rna333	rna5425
OG0001018	rna384	rna1824
OG0001019	rna382	rna1826
OG0001020	rna375	rna1834
OG0001021	rna1432	rna1836
OG0001022	rna1270	rna4385
OG0001023	rna2653	rna5110
OG0001024	rna1271	rna4386
OG0001025	rna4685	rna4614, rna3592
OG0001026	rna4686	rna3593
OG0001027	rna5839	rna4611
OG0001028	rna474	rna5060
OG0001029	rna5914	rna3521
OG0001030	rna6258	rna4968
OG0001031	rna4314	rna4967
OG0001032	rna6261	rna1573
OG0001033	rna6262	rna1574
OG0001034	rna6263	rna4965
OG0001035	rna6264	rna1575
OG0001036	rna6232	rna4451
OG0001037	rna2336	rna4450
OG0001038	rna6230	rna4448
OG0001039	rna6229	rna4447
OG0001040	rna6227	rna4445
OG0001041	rna6222	rna1226
OG0001042	rna6221	rna1225
OG0001043	rna6218	rna1222
OG0001044	rna6216	rna1220
OG0001045	rna6215	rna3751
OG0001046	rna6212	rna1217
OG0001047	rna2326	rna1216
OG0001048	rna2325	rna3750
OG0001049	rna2324	rna3749
OG0001050	rna475	rna3868
OG0001051	rna1595	rna3870
OG0001052	rna3004	rna1272
OG0001053	rna1591	rna3873
OG0001054	rna1590	rna3874
OG0001055	rna3003	rna4195
OG0001056	rna5384	rna5377
OG0001057	rna5374	rna4162, rna5381
OG0001058	rna322	rna5436
OG0001059	rna320	rna5438
OG0001060	rna6140	rna1145
OG0001061	rna6139	rna1144
OG0001062	rna6137	rna1143
OG0001063	rna312	rna1141
OG0001064	rna178	rna1136
OG0001065	rna3518	rna431
OG0001066	rna4594	rna432
OG0001067	rna4586	rna4241
OG0001068	rna3532	rna446
OG0001069	rna4580	rna4236
OG0001070	rna5710	rna1662
OG0001071	rna4722	rna2608
OG0001072	rna4219	rna5755
OG0001073	rna4217	rna5753
OG0001074	rna3658	rna506
OG0001075	rna3657	rna507
OG0001076	rna3654	rna568
OG0001077	rna3648	rna573
OG0001078	rna2566	rna518
OG0001079	rna2564	rna1292
OG0001080	rna3646	rna1290
OG0001081	rna3560	rna513
OG0001082	rna2557	rna512, rna1307
OG0001083	rna4558	rna4169
OG0001084	rna3327	rna1275
OG0001085	rna3329	rna1277
OG0001086	rna3331	rna1279
OG0001087	rna3332	rna1280
OG0001088	rna3336	rna4861
OG0001089	rna3337	rna4862
OG0001090	rna3338	rna4863
OG0001091	rna3448	rna4864
OG0001092	rna3339	rna1287
OG0001093	rna3445	rna4867
OG0001094	rna3444	rna4869
OG0001095	rna3341	rna4870, rna1295
OG0001096	rna3342	rna4871
OG0001097	rna3442	rna4872
OG0001098	rna3440	rna4950
OG0001099	rna532, rna643	rna2528
OG0001100	rna535	rna2524
OG0001101	rna536	rna2523
OG0001102	rna539	rna2521
OG0001103	rna544	rna2517
OG0001104	rna545	rna2516
OG0001105	rna546	rna2515
OG0001106	rna1479	rna10
OG0001107	rna1481	rna12
OG0001108	rna1476	rna14
OG0001109	rna552	rna2510
OG0001110	rna558	rna2504
OG0001111	rna1460	rna28
OG0001112	rna4037	rna2476, rna2477
OG0001113	rna4041	rna2480
OG0001114	rna4044	rna40
OG0001115	rna4882	rna41
OG0001116	rna4885	rna44
OG0001117	rna647	rna2488
OG0001118	rna4886	rna45
OG0001119	rna4887	rna46
OG0001120	rna5569	rna5229
OG0001121	rna4888	rna47
OG0001122	rna4889	rna48
OG0001123	rna2256	rna1736
OG0001124	rna2257	rna2414
OG0001125	rna2258	rna2415
OG0001126	rna2064	rna2416
OG0001127	rna2075	rna5302
OG0001128	rna4897	rna55
OG0001129	rna4898	rna56
OG0001130	rna4899	rna5303
OG0001131	rna4901	rna58
OG0001132	rna2479	rna3713
OG0001133	rna4904	rna61
OG0001134	rna4907	rna64
OG0001135	rna4908	rna65
OG0001136	rna4909	rna66
OG0001137	rna4910	rna67
OG0001138	rna4912	rna69
OG0001139	rna4913	rna70
OG0001140	rna4915	rna72
OG0001141	rna4916	rna73
OG0001142	rna3058	rna5
OG0001143	rna3059	rna5867
OG0001144	rna3061	rna4101
OG0001145	rna639	rna2466
OG0001146	rna638	rna2465
OG0001147	rna3066	rna5632
OG0001148	rna1436	rna5566
OG0001149	rna5313	rna2015
OG0001150	rna1434	rna5564
OG0001151	rna5316	rna898
OG0001152	rna5346	rna2894
OG0001153	rna5347	rna2895
OG0001154	rna5348	rna2824
OG0001155	rna5350	rna2899
OG0001156	rna80	rna5502
OG0001157	rna79	rna3824
OG0001158	rna235	rna3825
OG0001159	rna924	rna5505
OG0001160	rna2285	rna5541
OG0001161	rna5335	rna2128
OG0001162	rna4134	rna3453
OG0001163	rna4135	rna3454
OG0001164	rna4136	rna3455, rna4122
OG0001165	rna4137	rna3457
OG0001166	rna4138	rna3458
OG0001167	rna4140	rna3460
OG0001168	rna5596	rna4124
OG0001169	rna5599	rna4127
OG0001170	rna4146	rna3465
OG0001171	rna618	rna107, rna874
OG0001172	rna5607	rna5020
OG0001173	rna2149	rna3474
OG0001174	rna436	rna5096
OG0001175	rna2148	rna3486
OG0001176	rna440	rna5093
OG0001177	rna2076	rna3478
OG0001178	rna4422	rna5033
OG0001179	rna5403	rna3357
OG0001180	rna5404	rna3358
OG0001181	rna4472	rna5035
OG0001182	rna5406	rna3360
OG0001183	rna4471	rna3361
OG0001184	rna5407	rna3362
OG0001185	rna5408	rna3363
OG0001186	rna4469	rna5097
OG0001187	rna5410	rna3365
OG0001188	rna5411	rna3368
OG0001189	rna4781	rna2551
OG0001190	rna4784	rna2549
OG0001191	rna4338	rna1614
OG0001192	rna4337	rna1613
OG0001193	rna2776	rna2548
OG0001194	rna5561	rna1249
OG0001195	rna5563	rna5185
OG0001196	rna1351	rna1250
OG0001197	rna5564	rna5184
OG0001198	rna1355	rna5182
OG0001199	rna1360	rna1257
OG0001200	rna5701	rna1654
OG0001201	rna5697	rna1651
OG0001202	rna5696	rna1650
OG0001203	rna5693	rna1646
OG0001204	rna5689	rna1642
OG0001205	rna5688	rna1641
OG0001206	rna5686	rna1639
OG0001207	rna5684	rna1636
OG0001208	rna4698	rna2631
OG0001209	rna5683	rna1635
OG0001210	rna1670	rna4014
OG0001211	rna1666	rna1426, rna4010
OG0001212	rna1663	rna4007
OG0001213	rna2924	rna4004
OG0001214	rna2927	rna1422
OG0001215	rna2928	rna1421
OG0001216	rna2930	rna4002
OG0001217	rna1659	rna3994
OG0001218	rna1658	rna3996
OG0001219	rna2933	rna1419, rna3997
OG0001220	rna1654	rna3999
OG0001221	rna1650	rna3986
OG0001222	rna2942	rna1409
OG0001223	rna2943	rna1408
OG0001224	rna5192	rna548
OG0001225	rna5191	rna547
OG0001226	rna5187	rna458
OG0001227	rna666	rna3622
OG0001228	rna665	rna3620
OG0001229	rna664	rna3619
OG0001230	rna662	rna3617
OG0001231	rna660	rna3616
OG0001232	rna655	rna3611
OG0001233	rna5180	rna3609
OG0001234	rna653	rna3608
OG0001235	rna5179	rna464
OG0001236	rna2916	rna1434
OG0001237	rna1676	rna4019
OG0001238	rna2917	rna4018
OG0001239	rna3185	rna2372, rna968
OG0001240	rna5676	rna1628
OG0001241	rna5675	rna2633
OG0001242	rna5920	rna2634
OG0001243	rna5674	rna1708
OG0001244	rna5671	rna2636
OG0001245	rna5922	rna2640
OG0001246	rna5923	rna2642
OG0001247	rna5668	rna2643
OG0001248	rna5925	rna2646
OG0001249	rna5665	rna1714
OG0001250	rna5664	rna1715
OG0001251	rna5663	rna1716
OG0001252	rna1253	rna4372
OG0001253	rna2639	rna153
OG0001254	rna2638	rna152
OG0001255	rna1248	rna4366
OG0001256	rna1246	rna4364
OG0001257	rna1245	rna4361
OG0001258	rna1244	rna128
OG0001259	rna2613	rna131
OG0001260	rna2614	rna113
OG0001261	rna2615	rna114
OG0001262	rna2617	rna4356
OG0001263	rna1239	rna4357
OG0001264	rna1238	rna4358
OG0001265	rna1237	rna4351
OG0001266	rna1231	rna4350
OG0001267	rna1232	rna4349
OG0001268	rna3842	rna3411
OG0001269	rna3843	rna3412
OG0001270	rna3232	rna111
OG0001271	rna1228	rna5105
OG0001272	rna2621, rna2620	rna119, rna118
OG0001273	rna5325	rna2139
OG0001274	rna363	rna5550
OG0001275	rna362	rna5549
OG0001276	rna5071	rna4790
OG0001277	rna5070	rna4787
OG0001278	rna5069	rna4786
OG0001279	rna2847	rna2273
OG0001280	rna2182	rna166
OG0001281	rna1759	rna381
OG0001282	rna1026	rna2012
OG0001283	rna1029	rna2009
OG0001284	rna1763	rna377
OG0001285	rna1032	rna2006
OG0001286	rna1033	rna2005
OG0001287	rna2436	rna758
OG0001288	rna4881	rna5578
OG0001289	rna1445	rna5570
OG0001290	rna1444	rna5573
OG0001291	rna5306	rna3017
OG0001292	rna1442	rna5575
OG0001293	rna4507	rna1343
OG0001294	rna3601	rna5252
OG0001295	rna3600	rna5251
OG0001296	rna3598	rna5247
OG0001297	rna3597	rna5246
OG0001298	rna4504	rna1339
OG0001299	rna3596	rna1338
OG0001300	rna4503	rna1337
OG0001301	rna3595	rna5245
OG0001302	rna3594	rna5244
OG0001303	rna5282	rna2997
OG0001304	rna26	rna5331, rna774
OG0001305	rna27	rna775
OG0001306	rna5770	rna3884
OG0001307	rna5767	rna3888
OG0001308	rna5048	rna4769, rna2295
OG0001309	rna5049	rna4770
OG0001310	rna5518	rna4774
OG0001311	rna5511	rna2284
OG0001312	rna5059	rna4779
OG0001313	rna5507	rna4780
OG0001314	rna5506	rna2280
OG0001315	rna5064	rna4783
OG0001316	rna5501	rna2275
OG0001317	rna5067	rna2274
OG0001318	rna4799	rna3397
OG0001319	rna4805	rna3383
OG0001320	rna3534	rna448
OG0001321	rna4741	rna2590
OG0001322	rna5359	rna2589
OG0001323	rna300	rna5456
OG0001324	rna1261	rna4376
OG0001325	rna3320	rna1367
OG0001326	rna1259	rna5117
OG0001327	rna2644	rna5100
OG0001328	rna2643	rna5101
OG0001329	rna2642	rna5104
OG0001330	rna1256	rna4375
OG0001331	rna1410	rna812
OG0001332	rna1413	rna810
OG0001333	rna1177	rna1863
OG0001334	rna1179	rna1861
OG0001335	rna746	rna2781
OG0001336	rna745	rna2780
OG0001337	rna1181	rna1859
OG0001338	rna744	rna2779
OG0001339	rna1182	rna1858
OG0001340	rna1183	rna1857
OG0001341	rna743	rna1854
OG0001342	rna742	rna2778
OG0001343	rna1189	rna1850
OG0001344	rna1190	rna1849
OG0001345	rna6182	rna1184
OG0001346	rna6179	rna1182
OG0001347	rna6178	rna1181
OG0001348	rna6174	rna1180
OG0001349	rna357	rna5517
OG0001350	rna356	rna5518
OG0001351	rna355	rna5519
OG0001352	rna6173	rna1179
OG0001353	rna5857	rna4630
OG0001354	rna5858	rna4631
OG0001355	rna5859	rna4632
OG0001356	rna5864	rna4636
OG0001357	rna5865	rna4637
OG0001358	rna5867	rna3560
OG0001359	rna4661	rna3562
OG0001360	rna4068	rna5017
OG0001361	rna799	rna1461
OG0001362	rna797	rna1463
OG0001363	rna796	rna1464
OG0001364	rna795	rna1465
OG0001365	rna794	rna1466
OG0001366	rna4065	rna5014
OG0001367	rna4064	rna5013
OG0001368	rna2654	rna5109
OG0001369	rna2655	rna5108
OG0001370	rna4373	rna2532
OG0001371	rna4371	rna2533
OG0001372	rna6257	rna1570
OG0001373	rna2181	rna167
OG0001374	rna2026	rna2946
OG0001375	rna4161	rna607
OG0001376	rna4160	rna606
OG0001377	rna3806	rna615, rna3123
OG0001378	rna2549	rna1316
OG0001379	rna6110	rna2956
OG0001380	rna1771	rna369
OG0001381	rna1774	rna2083
OG0001382	rna1042	rna1995
OG0001383	rna1777	rna2086
OG0001384	rna1778	rna2087
OG0001385	rna1779	rna2088
OG0001386	rna2216	rna5715
OG0001387	rna2215	rna532
OG0001388	rna2211	rna529
OG0001389	rna2210	rna528
OG0001390	rna2209	rna527
OG0001391	rna4178	rna5732
OG0001392	rna2206	rna536
OG0001393	rna4175	rna5734
OG0001394	rna4174	rna5735
OG0001395	rna69	rna5739
OG0001396	rna2204	rna531
OG0001397	rna5205	rna563
OG0001398	rna687	rna3635
OG0001399	rna688	rna3634
OG0001400	rna1122	rna1911
OG0001401	rna5209	rna574
OG0001402	rna5212	rna576
OG0001403	rna5215	rna578
OG0001404	rna3052	rna3153, rna3668
OG0001405	rna5825	rna3381
OG0001406	rna5823	rna3379
OG0001407	rna1513	rna4104
OG0001408	rna5829	rna3419
OG0001409	rna1507	rna5030
OG0001410	rna5421	rna5025
OG0001411	rna5417	rna3373
OG0001412	rna5416	rna5029
OG0001413	rna4779	rna2555
OG0001414	rna4777	rna2558
OG0001415	rna4774	rna2561
OG0001416	rna4773	rna2562
OG0001417	rna4770	rna2566
OG0001418	rna4348	rna1706
OG0001419	rna4346	rna1625
OG0001420	rna4772	rna2563
OG0001421	rna4353	rna1700
OG0001422	rna4354	rna1699
OG0001423	rna4763	rna2571
OG0001424	rna6107	rna2064
OG0001425	rna6109	rna2957
OG0001426	rna1007	rna2032
OG0001427	rna1006	rna2033
OG0001428	rna1037	rna2001
OG0001429	rna3673	rna2377
OG0001430	rna3672	rna2376
OG0001431	rna3179	rna970
OG0001432	rna5702	rna1655
OG0001433	rna5565	rna5188
OG0001434	rna4290	rna5820
OG0001435	rna4289	rna5819
OG0001436	rna4407	rna279
OG0001437	rna832	rna4761
OG0001438	rna4287	rna5817
OG0001439	rna3457	rna275
OG0001440	rna3458	rna274
OG0001441	rna4285	rna5815
OG0001442	rna3459	rna273
OG0001443	rna3461	rna5813
OG0001444	rna4281	rna5810
OG0001445	rna3462	rna271
OG0001446	rna4278	rna5805
OG0001447	rna2135	rna3545
OG0001448	rna2134	rna3544
OG0001449	rna2132	rna3542
OG0001450	rna5892	rna103
OG0001451	rna256	rna1064
OG0001452	rna2280	rna2124
OG0001453	rna2281	rna2125
OG0001454	rna2283	rna5540
OG0001455	rna4158	rna591
OG0001457	rna4171	rna3124
OG0001458	rna3804	rna617
OG0001459	rna2224	rna190
OG0001460	rna3504	rna4331
OG0001461	rna3503	rna4332
OG0001462	rna3502	rna4333
OG0001463	rna5163	rna885
OG0001464	rna4034	rna3031
OG0001465	rna4035	rna3028
OG0001466	rna580	rna3026
OG0001467	rna581	rna3025
OG0001468	rna582	rna3024
OG0001469	rna2020	rna2154
OG0001470	rna3890	rna2912
OG0001471	rna1831	rna2908
OG0001472	rna3898	rna5664
OG0001473	rna3900	rna5662
OG0001474	rna1822	rna5660
OG0001475	rna3903	rna5659
OG0001476	rna1821	rna3817
OG0001477	rna1820	rna3816
OG0001478	rna3542	rna4343
OG0001479	rna5937	rna2656
OG0001480	rna5936	rna2655
OG0001481	rna5935	rna2654
OG0001482	rna5932	rna1720
OG0001483	rna5661	rna1719
OG0001484	rna1409	rna4229
OG0001485	rna4431	rna5236
OG0001486	rna5782	rna5346
OG0001487	rna3166	rna980
OG0001488	rna5779	rna5342
OG0001489	rna3188	rna965
OG0001490	rna3189	rna964
