Genes	Orthogroup	Clade	Node
rna3047	OG0004412	l_waltii_v3_group	N1
rna2687	OG0004413	l_waltii_v3_group	N1
rna2114	OG0004416	l_waltii_v3_group	N1
rna5794	OG0004425	l_waltii_v3_group	N1
rna4067	OG0004460	l_waltii_v3_group	N1
rna2683	OG0004507	l_waltii_v3_group	N1
rna5104	OG0004512	l_waltii_v3_group	N1
rna3921	OG0004525	l_waltii_v3_group	N1
rna408	OG0004543	l_waltii_v3_group	N1
rna1929	OG0004578	l_waltii_v3_group	N1
rna2205	OG0004583	l_waltii_v3_group	N1
rna620	OG0004584	l_waltii_v3_group	N1
rna6150	OG0004592	l_waltii_v3_group	N1
rna1269	OG0004594	l_waltii_v3_group	N1
rna3649	OG0004597	l_waltii_v3_group	N1
rna2618	OG0004613	l_waltii_v3_group	N1
rna6183	OG0004617	l_waltii_v3_group	N1
rna3278	OG0004631	l_waltii_v3_group	N1
rna4056	OG0004634	l_waltii_v3_group	N1
rna480	OG0004636	l_waltii_v3_group	N1
rna1338	OG0004641	l_waltii_v3_group	N1
rna6241	OG0004643	l_waltii_v3_group	N1
rna831	OG0004648	l_waltii_v3_group	N1
rna2569	OG0004656	l_waltii_v3_group	N1
rna6057	OG0004665	l_waltii_v3_group	N1
rna4605	OG0004676	l_waltii_v3_group	N1
rna1978	OG0004815	l_waltii_v3_group	N1
rna3660	OG0004818	l_waltii_v3_group	N1
rna6103	OG0004876	l_waltii_v3_group	N1
rna817	OG0004933	l_waltii_v3_group	N1
rna1628	OG0004978	l_waltii_v3_group	N1
rna4642	OG0004981	l_waltii_v3_group	N1
rna1788	OG0004983	l_waltii_v3_group	N1
rna5331	OG0004984	l_waltii_v3_group	N1
rna5363	OG0005187	l_waltii_v3_group	N1
rna5244	OG0005197	l_waltii_v3_group	N1
rna3909	OG0000000	l_waltii_v3_group	N1
rna3049	OG0000000	l_waltii_v3_group	N1
rna4477	OG0000000	l_waltii_v3_group	N1
rna1856	OG0000000	l_waltii_v3_group	N1
rna4070	OG0000003	l_waltii_v3_group	N1
rna5237	OG0000004	l_waltii_v3_group	N1
rna3434	OG0000004	l_waltii_v3_group	N1
rna525	OG0000004	l_waltii_v3_group	N1
rna4327	OG0000004	l_waltii_v3_group	N1
rna1805	OG0000004	l_waltii_v3_group	N1
rna4824	OG0000004	l_waltii_v3_group	N1
rna705	OG0000004	l_waltii_v3_group	N1
rna3429	OG0000004	l_waltii_v3_group	N1
rna2514	OG0000004	l_waltii_v3_group	N1
rna2519	OG0000004	l_waltii_v3_group	N1
rna2523	OG0000004	l_waltii_v3_group	N1
rna2524	OG0000004	l_waltii_v3_group	N1
rna1940	OG0000004	l_waltii_v3_group	N1
rna290	OG0000011	l_waltii_v3_group	N1
rna3	OG0000015	l_waltii_v3_group	N1
rna8	OG0000015	l_waltii_v3_group	N1
rna95	OG0000015	l_waltii_v3_group	N1
rna2799	OG0000015	l_waltii_v3_group	N1
rna2801	OG0000015	l_waltii_v3_group	N1
rna5	OG0000015	l_waltii_v3_group	N1
rna1815	OG0000015	l_waltii_v3_group	N1
rna2800	OG0000015	l_waltii_v3_group	N1
rna3759	OG0000015	l_waltii_v3_group	N1
rna5586	OG0000017	l_waltii_v3_group	N1
rna3431	OG0000017	l_waltii_v3_group	N1
rna3099	OG0000027	l_waltii_v3_group	N1
rna529	OG0000028	l_waltii_v3_group	N1
rna3762	OG0000028	l_waltii_v3_group	N1
rna2450	OG0000028	l_waltii_v3_group	N1
rna6291	OG0000028	l_waltii_v3_group	N1
rna2511	OG0000029	l_waltii_v3_group	N1
rna4893	OG0000037	l_waltii_v3_group	N1
rna1648	OG0000038	l_waltii_v3_group	N1
rna1649	OG0000038	l_waltii_v3_group	N1
rna1643	OG0000038	l_waltii_v3_group	N1
rna5742	OG0000044	l_waltii_v3_group	N1
rna4092	OG0000046	l_waltii_v3_group	N1
rna5487	OG0000046	l_waltii_v3_group	N1
rna5608	OG0000046	l_waltii_v3_group	N1
rna894	OG0000057	l_waltii_v3_group	N1
rna3083	OG0000057	l_waltii_v3_group	N1
rna3181	OG0000073	l_waltii_v3_group	N1
rna2871	OG0000080	l_waltii_v3_group	N1
rna1781	OG0000084	l_waltii_v3_group	N1
rna2797	OG0000084	l_waltii_v3_group	N1
rna4817	OG0000087	l_waltii_v3_group	N1
rna701	OG0000087	l_waltii_v3_group	N1
rna3432	OG0000093	l_waltii_v3_group	N1
rna4408	OG0000117	l_waltii_v3_group	N1
rna1793	OG0000125	l_waltii_v3_group	N1
rna2399	OG0000128	l_waltii_v3_group	N1
rna5789	OG0000128	l_waltii_v3_group	N1
rna209	OG0000137	l_waltii_v3_group	N1
rna5818	OG0000160	l_waltii_v3_group	N1
rna3769	OG0000160	l_waltii_v3_group	N1
rna5231	OG0000161	l_waltii_v3_group	N1
rna1823	OG0000165	l_waltii_v3_group	N1
rna3901	OG0000165	l_waltii_v3_group	N1
rna1341	OG0000173	l_waltii_v3_group	N1
rna2115	OG0000182	l_waltii_v3_group	N1
rna5905	OG0000182	l_waltii_v3_group	N1
rna1683	OG0000183	l_waltii_v3_group	N1
rna158	OG0000183	l_waltii_v3_group	N1
rna5151	OG0000191	l_waltii_v3_group	N1
rna4602	OG0000191	l_waltii_v3_group	N1
rna3030	OG0000192	l_waltii_v3_group	N1
rna5037	OG0000192	l_waltii_v3_group	N1
rna1947	OG0000195	l_waltii_v3_group	N1
rna5221	OG0000195	l_waltii_v3_group	N1
rna5797	OG0000197	l_waltii_v3_group	N1
rna4814	OG0000197	l_waltii_v3_group	N1
rna5287	OG0000207	l_waltii_v3_group	N1
rna5220	OG0000213	l_waltii_v3_group	N1
rna3554	OG0000219	l_waltii_v3_group	N1
rna378	OG0000331	l_waltii_v3_group	N1
rna5255	OG0000338	l_waltii_v3_group	N1
rna732	OG0000360	l_waltii_v3_group	N1
rna4925	OG0000368	l_waltii_v3_group	N1
rna4748	OG0000423	l_waltii_v3_group	N1
rna5827	OG0000423	l_waltii_v3_group	N1
rna3770	OG0000437	l_waltii_v3_group	N1
rna5817	OG0000437	l_waltii_v3_group	N1
rna6201	OG0000464	l_waltii_v3_group	N1
rna2305	OG0000464	l_waltii_v3_group	N1
rna168	OG0000468	l_waltii_v3_group	N1
rna179	OG0000474	l_waltii_v3_group	N1
rna5470	OG0000496	l_waltii_v3_group	N1
rna2414	OG0000536	l_waltii_v3_group	N1
rna4445	OG0000541	l_waltii_v3_group	N1
rna3777	OG0000566	l_waltii_v3_group	N1
rna6287	OG0000566	l_waltii_v3_group	N1
rna474	OG0000567	l_waltii_v3_group	N1
rna570	OG0000576	l_waltii_v3_group	N1
rna3842	OG0000595	l_waltii_v3_group	N1
rna28	OG0000602	l_waltii_v3_group	N1
rna3956	OG0000639	l_waltii_v3_group	N1
rna4867	OG0000677	l_waltii_v3_group	N1
rna3436	OG0000685	l_waltii_v3_group	N1
rna3215	OG0000702	l_waltii_v3_group	N1
rna369	OG0000703	l_waltii_v3_group	N1
rna5030	OG0000735	l_waltii_v3_group	N1
rna2255	OG0000787	l_waltii_v3_group	N1
rna4151	OG0000812	l_waltii_v3_group	N1
rna3086	OG0000848	l_waltii_v3_group	N1
rna4795	OG0000890	l_waltii_v3_group	N1
rna5735	OG0000963	l_waltii_v3_group	N1
rna4231	OG0001026	l_waltii_v3_group	N1
rna384	OG0001049	l_waltii_v3_group	N1
rna4685	OG0001054	l_waltii_v3_group	N1
rna2557	OG0001114	l_waltii_v3_group	N1
rna3341	OG0001127	l_waltii_v3_group	N1
rna4037	OG0001144	l_waltii_v3_group	N1
rna4136	OG0001198	l_waltii_v3_group	N1
rna618	OG0001204	l_waltii_v3_group	N1
rna4338	OG0001222	l_waltii_v3_group	N1
rna1666	OG0001244	l_waltii_v3_group	N1
rna2621	OG0001305	l_waltii_v3_group	N1
rna2620	OG0001305	l_waltii_v3_group	N1
rna5048	OG0001338	l_waltii_v3_group	N1
rna1258	OG0001365	l_waltii_v3_group	N1
rna1773	OG0001416	l_waltii_v3_group	N1
rna3052	OG0001439	l_waltii_v3_group	N1
rna3542	OG0001513	l_waltii_v3_group	N1
rna5936	OG0001515	l_waltii_v3_group	N1
rna352	OG0001561	l_waltii_v3_group	N1
rna1952	OG0001605	l_waltii_v3_group	N1
rna2344	OG0001680	l_waltii_v3_group	N1
rna3785	OG0001745	l_waltii_v3_group	N1
rna1755	OG0001752	l_waltii_v3_group	N1
rna5544	OG0001782	l_waltii_v3_group	N1
rna1339	OG0001783	l_waltii_v3_group	N1
rna2354	OG0001801	l_waltii_v3_group	N1
rna825	OG0001896	l_waltii_v3_group	N1
rna3268	OG0001913	l_waltii_v3_group	N1
rna306	OG0001951	l_waltii_v3_group	N1
rna3773	OG0001990	l_waltii_v3_group	N1
rna2667	OG0002024	l_waltii_v3_group	N1
rna947	OG0002035	l_waltii_v3_group	N1
rna233	OG0002037	l_waltii_v3_group	N1
rna5801	OG0002066	l_waltii_v3_group	N1
rna5813	OG0002066	l_waltii_v3_group	N1
rna5814	OG0002066	l_waltii_v3_group	N1
rna5321	OG0002199	l_waltii_v3_group	N1
rna3538	OG0002202	l_waltii_v3_group	N1
rna3611	OG0002237	l_waltii_v3_group	N1
rna469	OG0002275	l_waltii_v3_group	N1
rna4075	OG0002389	l_waltii_v3_group	N1
rna1173	OG0002391	l_waltii_v3_group	N1
rna988	OG0002481	l_waltii_v3_group	N1
rna278	OG0002487	l_waltii_v3_group	N1
rna4957	OG0002524	l_waltii_v3_group	N1
rna3247	OG0002556	l_waltii_v3_group	N1
rna2412	OG0002561	l_waltii_v3_group	N1
rna5399	OG0002564	l_waltii_v3_group	N1
rna4641	OG0002567	l_waltii_v3_group	N1
rna5758	OG0002571	l_waltii_v3_group	N1
rna4729	OG0002602	l_waltii_v3_group	N1
rna3573	OG0002632	l_waltii_v3_group	N1
rna3574	OG0002633	l_waltii_v3_group	N1
rna1129	OG0002642	l_waltii_v3_group	N1
rna4510	OG0002642	l_waltii_v3_group	N1
rna3300	OG0002663	l_waltii_v3_group	N1
rna2869	OG0002664	l_waltii_v3_group	N1
rna2522	OG0002669	l_waltii_v3_group	N1
rna3754	OG0002674	l_waltii_v3_group	N1
rna1930	OG0002677	l_waltii_v3_group	N1
rna1979	OG0002680	l_waltii_v3_group	N1
rna1623	OG0002681	l_waltii_v3_group	N1
rna1619	OG0002682	l_waltii_v3_group	N1
rna1983	OG0002683	l_waltii_v3_group	N1
rna1615	OG0002684	l_waltii_v3_group	N1
rna4460	OG0002686	l_waltii_v3_group	N1
rna1375	OG0002687	l_waltii_v3_group	N1
rna4423	OG0002689	l_waltii_v3_group	N1
rna4424	OG0002690	l_waltii_v3_group	N1
rna5573	OG0002691	l_waltii_v3_group	N1
rna5576	OG0002692	l_waltii_v3_group	N1
rna4210	OG0002693	l_waltii_v3_group	N1
rna2261	OG0002696	l_waltii_v3_group	N1
rna2262	OG0002697	l_waltii_v3_group	N1
rna3662	OG0002698	l_waltii_v3_group	N1
rna3663	OG0002699	l_waltii_v3_group	N1
rna1879	OG0002700	l_waltii_v3_group	N1
rna21	OG0002705	l_waltii_v3_group	N1
rna5774	OG0002706	l_waltii_v3_group	N1
rna47	OG0002708	l_waltii_v3_group	N1
rna2188	OG0002712	l_waltii_v3_group	N1
rna208	OG0002714	l_waltii_v3_group	N1
rna2475	OG0002715	l_waltii_v3_group	N1
rna2474	OG0002716	l_waltii_v3_group	N1
rna2473	OG0002717	l_waltii_v3_group	N1
rna2471	OG0002718	l_waltii_v3_group	N1
rna2464	OG0002719	l_waltii_v3_group	N1
rna3112	OG0002721	l_waltii_v3_group	N1
rna3111	OG0002722	l_waltii_v3_group	N1
rna3110	OG0002723	l_waltii_v3_group	N1
rna3109	OG0002724	l_waltii_v3_group	N1
rna3720	OG0002725	l_waltii_v3_group	N1
rna3106	OG0002726	l_waltii_v3_group	N1
rna3080	OG0002727	l_waltii_v3_group	N1
rna3082	OG0002728	l_waltii_v3_group	N1
rna3084	OG0002729	l_waltii_v3_group	N1
rna3480	OG0002731	l_waltii_v3_group	N1
rna3483	OG0002733	l_waltii_v3_group	N1
rna5443	OG0002736	l_waltii_v3_group	N1
rna1428	OG0002737	l_waltii_v3_group	N1
rna5442	OG0002738	l_waltii_v3_group	N1
rna5288	OG0002739	l_waltii_v3_group	N1
rna5289	OG0002740	l_waltii_v3_group	N1
rna4861	OG0002742	l_waltii_v3_group	N1
rna4862	OG0002743	l_waltii_v3_group	N1
rna5294	OG0002744	l_waltii_v3_group	N1
rna5295	OG0002745	l_waltii_v3_group	N1
rna5496	OG0002746	l_waltii_v3_group	N1
rna3317	OG0002750	l_waltii_v3_group	N1
rna4416	OG0002751	l_waltii_v3_group	N1
rna4414	OG0002752	l_waltii_v3_group	N1
rna4412	OG0002753	l_waltii_v3_group	N1
rna2590	OG0002754	l_waltii_v3_group	N1
rna2201	OG0002759	l_waltii_v3_group	N1
rna2200	OG0002760	l_waltii_v3_group	N1
rna2764	OG0002761	l_waltii_v3_group	N1
rna2770	OG0002762	l_waltii_v3_group	N1
rna2489	OG0002765	l_waltii_v3_group	N1
rna4788	OG0002766	l_waltii_v3_group	N1
rna4794	OG0002767	l_waltii_v3_group	N1
rna4796	OG0002770	l_waltii_v3_group	N1
rna4809	OG0002772	l_waltii_v3_group	N1
rna1950	OG0002774	l_waltii_v3_group	N1
rna264	OG0002775	l_waltii_v3_group	N1
rna961	OG0002776	l_waltii_v3_group	N1
rna1559	OG0002780	l_waltii_v3_group	N1
rna1557	OG0002781	l_waltii_v3_group	N1
rna5001	OG0002782	l_waltii_v3_group	N1
rna2709	OG0002783	l_waltii_v3_group	N1
rna1611	OG0002784	l_waltii_v3_group	N1
rna1613	OG0002785	l_waltii_v3_group	N1
rna1614	OG0002786	l_waltii_v3_group	N1
rna4454	OG0002787	l_waltii_v3_group	N1
rna1389	OG0002788	l_waltii_v3_group	N1
rna4448	OG0002789	l_waltii_v3_group	N1
rna4446	OG0002790	l_waltii_v3_group	N1
rna1391	OG0002791	l_waltii_v3_group	N1
rna1392	OG0002792	l_waltii_v3_group	N1
rna4442	OG0002794	l_waltii_v3_group	N1
rna1394	OG0002795	l_waltii_v3_group	N1
rna1395	OG0002796	l_waltii_v3_group	N1
rna1397	OG0002797	l_waltii_v3_group	N1
rna4436	OG0002798	l_waltii_v3_group	N1
rna4434	OG0002799	l_waltii_v3_group	N1
rna2066	OG0002801	l_waltii_v3_group	N1
rna2139	OG0002804	l_waltii_v3_group	N1
rna3466	OG0002806	l_waltii_v3_group	N1
rna3468	OG0002807	l_waltii_v3_group	N1
rna3469	OG0002808	l_waltii_v3_group	N1
rna3472	OG0002809	l_waltii_v3_group	N1
rna4266	OG0002810	l_waltii_v3_group	N1
rna4261	OG0002812	l_waltii_v3_group	N1
rna3402	OG0002815	l_waltii_v3_group	N1
rna2784	OG0002816	l_waltii_v3_group	N1
rna3401	OG0002817	l_waltii_v3_group	N1
rna2783	OG0002818	l_waltii_v3_group	N1
rna2778	OG0002820	l_waltii_v3_group	N1
rna4380	OG0002821	l_waltii_v3_group	N1
rna4381	OG0002822	l_waltii_v3_group	N1
rna4387	OG0002824	l_waltii_v3_group	N1
rna4388	OG0002825	l_waltii_v3_group	N1
rna4394	OG0002826	l_waltii_v3_group	N1
rna4304	OG0002827	l_waltii_v3_group	N1
rna4398	OG0002828	l_waltii_v3_group	N1
rna4301	OG0002829	l_waltii_v3_group	N1
rna4400	OG0002830	l_waltii_v3_group	N1
rna4292	OG0002832	l_waltii_v3_group	N1
rna2241	OG0002833	l_waltii_v3_group	N1
rna2237	OG0002834	l_waltii_v3_group	N1
rna2228	OG0002836	l_waltii_v3_group	N1
rna3558	OG0002839	l_waltii_v3_group	N1
rna1905	OG0002842	l_waltii_v3_group	N1
rna959	OG0002843	l_waltii_v3_group	N1
rna262	OG0002844	l_waltii_v3_group	N1
rna259	OG0002845	l_waltii_v3_group	N1
rna3094	OG0002846	l_waltii_v3_group	N1
rna3100	OG0002847	l_waltii_v3_group	N1
rna3101	OG0002848	l_waltii_v3_group	N1
rna3722	OG0002849	l_waltii_v3_group	N1
rna3068	OG0002850	l_waltii_v3_group	N1
rna4227	OG0002852	l_waltii_v3_group	N1
rna2274	OG0002853	l_waltii_v3_group	N1
rna4224	OG0002854	l_waltii_v3_group	N1
rna4222	OG0002856	l_waltii_v3_group	N1
rna5707	OG0002857	l_waltii_v3_group	N1
rna6145	OG0002859	l_waltii_v3_group	N1
rna4751	OG0002860	l_waltii_v3_group	N1
rna4747	OG0002861	l_waltii_v3_group	N1
rna346	OG0002862	l_waltii_v3_group	N1
rna344	OG0002863	l_waltii_v3_group	N1
rna342	OG0002864	l_waltii_v3_group	N1
rna6162	OG0002865	l_waltii_v3_group	N1
rna6159	OG0002866	l_waltii_v3_group	N1
rna6156	OG0002867	l_waltii_v3_group	N1
rna6154	OG0002868	l_waltii_v3_group	N1
rna331	OG0002869	l_waltii_v3_group	N1
rna5841	OG0002875	l_waltii_v3_group	N1
rna6267	OG0002878	l_waltii_v3_group	N1
rna4316	OG0002879	l_waltii_v3_group	N1
rna6228	OG0002880	l_waltii_v3_group	N1
rna2334	OG0002881	l_waltii_v3_group	N1
rna2330	OG0002882	l_waltii_v3_group	N1
rna6220	OG0002883	l_waltii_v3_group	N1
rna2327	OG0002884	l_waltii_v3_group	N1
rna6214	OG0002885	l_waltii_v3_group	N1
rna1594	OG0002886	l_waltii_v3_group	N1
rna3002	OG0002888	l_waltii_v3_group	N1
rna3012	OG0002891	l_waltii_v3_group	N1
rna6142	OG0002892	l_waltii_v3_group	N1
rna321	OG0002893	l_waltii_v3_group	N1
rna316	OG0002895	l_waltii_v3_group	N1
rna4595	OG0002901	l_waltii_v3_group	N1
rna4592	OG0002902	l_waltii_v3_group	N1
rna3521	OG0002903	l_waltii_v3_group	N1
rna4591	OG0002904	l_waltii_v3_group	N1
rna3528	OG0002906	l_waltii_v3_group	N1
rna3529	OG0002907	l_waltii_v3_group	N1
rna4581	OG0002908	l_waltii_v3_group	N1
rna2322	OG0002909	l_waltii_v3_group	N1
rna4723	OG0002910	l_waltii_v3_group	N1
rna2266	OG0002911	l_waltii_v3_group	N1
rna3334	OG0002914	l_waltii_v3_group	N1
rna3451	OG0002915	l_waltii_v3_group	N1
rna3449	OG0002917	l_waltii_v3_group	N1
rna3447	OG0002918	l_waltii_v3_group	N1
rna3343	OG0002919	l_waltii_v3_group	N1
rna534	OG0002922	l_waltii_v3_group	N1
rna542	OG0002923	l_waltii_v3_group	N1
rna1482	OG0002925	l_waltii_v3_group	N1
rna1469	OG0002926	l_waltii_v3_group	N1
rna1468	OG0002927	l_waltii_v3_group	N1
rna553	OG0002928	l_waltii_v3_group	N1
rna1452	OG0002936	l_waltii_v3_group	N1
rna4040	OG0002937	l_waltii_v3_group	N1
rna4047	OG0002938	l_waltii_v3_group	N1
rna646	OG0002940	l_waltii_v3_group	N1
rna1505	OG0002942	l_waltii_v3_group	N1
rna4900	OG0002943	l_waltii_v3_group	N1
rna4902	OG0002944	l_waltii_v3_group	N1
rna1001	OG0002945	l_waltii_v3_group	N1
rna4905	OG0002946	l_waltii_v3_group	N1
rna4906	OG0002947	l_waltii_v3_group	N1
rna4911	OG0002948	l_waltii_v3_group	N1
rna3364	OG0002949	l_waltii_v3_group	N1
rna3060	OG0002950	l_waltii_v3_group	N1
rna1435	OG0002952	l_waltii_v3_group	N1
rna5314	OG0002953	l_waltii_v3_group	N1
rna913	OG0002954	l_waltii_v3_group	N1
rna5351	OG0002955	l_waltii_v3_group	N1
rna82	OG0002956	l_waltii_v3_group	N1
rna3026	OG0002958	l_waltii_v3_group	N1
rna922	OG0002959	l_waltii_v3_group	N1
rna926	OG0002960	l_waltii_v3_group	N1
rna359	OG0002961	l_waltii_v3_group	N1
rna5334	OG0002962	l_waltii_v3_group	N1
rna2284	OG0002963	l_waltii_v3_group	N1
rna4143	OG0002966	l_waltii_v3_group	N1
rna4145	OG0002967	l_waltii_v3_group	N1
rna4149	OG0002968	l_waltii_v3_group	N1
rna5604	OG0002969	l_waltii_v3_group	N1
rna4156	OG0002970	l_waltii_v3_group	N1
rna434	OG0002972	l_waltii_v3_group	N1
rna2144	OG0002974	l_waltii_v3_group	N1
rna2142	OG0002975	l_waltii_v3_group	N1
rna5413	OG0002978	l_waltii_v3_group	N1
rna4339	OG0002979	l_waltii_v3_group	N1
rna5562	OG0002980	l_waltii_v3_group	N1
rna1356	OG0002982	l_waltii_v3_group	N1
rna1358	OG0002983	l_waltii_v3_group	N1
rna1359	OG0002984	l_waltii_v3_group	N1
rna5694	OG0002986	l_waltii_v3_group	N1
rna5690	OG0002991	l_waltii_v3_group	N1
rna5682	OG0002995	l_waltii_v3_group	N1
rna5680	OG0002996	l_waltii_v3_group	N1
rna5679	OG0002997	l_waltii_v3_group	N1
rna1673	OG0002998	l_waltii_v3_group	N1
rna1672	OG0002999	l_waltii_v3_group	N1
rna2921	OG0003000	l_waltii_v3_group	N1
rna1669	OG0003001	l_waltii_v3_group	N1
rna1661	OG0003003	l_waltii_v3_group	N1
rna2925	OG0003004	l_waltii_v3_group	N1
rna2936	OG0003008	l_waltii_v3_group	N1
rna1646	OG0003009	l_waltii_v3_group	N1
rna5181	OG0003014	l_waltii_v3_group	N1
rna1677	OG0003015	l_waltii_v3_group	N1
rna5678	OG0003017	l_waltii_v3_group	N1
rna5677	OG0003018	l_waltii_v3_group	N1
rna5919	OG0003020	l_waltii_v3_group	N1
rna5669	OG0003023	l_waltii_v3_group	N1
rna5924	OG0003024	l_waltii_v3_group	N1
rna5666	OG0003025	l_waltii_v3_group	N1
rna5926	OG0003026	l_waltii_v3_group	N1
rna5927	OG0003027	l_waltii_v3_group	N1
rna5928	OG0003029	l_waltii_v3_group	N1
rna5930	OG0003030	l_waltii_v3_group	N1
rna5931	OG0003031	l_waltii_v3_group	N1
rna1249	OG0003032	l_waltii_v3_group	N1
rna2610	OG0003033	l_waltii_v3_group	N1
rna1243	OG0003034	l_waltii_v3_group	N1
rna1242	OG0003035	l_waltii_v3_group	N1
rna1241	OG0003036	l_waltii_v3_group	N1
rna2612	OG0003037	l_waltii_v3_group	N1
rna1234	OG0003038	l_waltii_v3_group	N1
rna2626	OG0003039	l_waltii_v3_group	N1
rna2622	OG0003040	l_waltii_v3_group	N1
rna1227	OG0003041	l_waltii_v3_group	N1
rna2849	OG0003042	l_waltii_v3_group	N1
rna2848	OG0003043	l_waltii_v3_group	N1
rna2375	OG0003045	l_waltii_v3_group	N1
rna203	OG0003046	l_waltii_v3_group	N1
rna1024	OG0003047	l_waltii_v3_group	N1
rna1027	OG0003049	l_waltii_v3_group	N1
rna1028	OG0003050	l_waltii_v3_group	N1
rna2367	OG0003052	l_waltii_v3_group	N1
rna5299	OG0003053	l_waltii_v3_group	N1
rna4879	OG0003054	l_waltii_v3_group	N1
rna4880	OG0003055	l_waltii_v3_group	N1
rna5302	OG0003056	l_waltii_v3_group	N1
rna1447	OG0003057	l_waltii_v3_group	N1
rna1443	OG0003058	l_waltii_v3_group	N1
rna4854	OG0003061	l_waltii_v3_group	N1
rna5769	OG0003063	l_waltii_v3_group	N1
rna5766	OG0003065	l_waltii_v3_group	N1
rna5522	OG0003066	l_waltii_v3_group	N1
rna5521	OG0003067	l_waltii_v3_group	N1
rna5050	OG0003068	l_waltii_v3_group	N1
rna5051	OG0003069	l_waltii_v3_group	N1
rna5519	OG0003070	l_waltii_v3_group	N1
rna5052	OG0003071	l_waltii_v3_group	N1
rna5516	OG0003072	l_waltii_v3_group	N1
rna5514	OG0003073	l_waltii_v3_group	N1
rna5510	OG0003074	l_waltii_v3_group	N1
rna5504	OG0003076	l_waltii_v3_group	N1
rna2503	OG0003082	l_waltii_v3_group	N1
rna3536	OG0003083	l_waltii_v3_group	N1
rna4579	OG0003084	l_waltii_v3_group	N1
rna4744	OG0003085	l_waltii_v3_group	N1
rna2640	OG0003087	l_waltii_v3_group	N1
rna1255	OG0003088	l_waltii_v3_group	N1
rna1175	OG0003089	l_waltii_v3_group	N1
rna748	OG0003090	l_waltii_v3_group	N1
rna1178	OG0003091	l_waltii_v3_group	N1
rna1180	OG0003092	l_waltii_v3_group	N1
rna1184	OG0003093	l_waltii_v3_group	N1
rna1185	OG0003094	l_waltii_v3_group	N1
rna2127	OG0003096	l_waltii_v3_group	N1
rna2288	OG0003097	l_waltii_v3_group	N1
rna354	OG0003100	l_waltii_v3_group	N1
rna4664	OG0003102	l_waltii_v3_group	N1
rna4661	OG0003104	l_waltii_v3_group	N1
rna3073	OG0003105	l_waltii_v3_group	N1
rna791	OG0003106	l_waltii_v3_group	N1
rna790	OG0003107	l_waltii_v3_group	N1
rna6111	OG0003112	l_waltii_v3_group	N1
rna1776	OG0003115	l_waltii_v3_group	N1
rna2219	OG0003116	l_waltii_v3_group	N1
rna2218	OG0003117	l_waltii_v3_group	N1
rna4176	OG0003118	l_waltii_v3_group	N1
rna5208	OG0003121	l_waltii_v3_group	N1
rna5211	OG0003122	l_waltii_v3_group	N1
rna3437	OG0003124	l_waltii_v3_group	N1
rna5824	OG0003126	l_waltii_v3_group	N1
rna5822	OG0003127	l_waltii_v3_group	N1
rna5821	OG0003128	l_waltii_v3_group	N1
rna5828	OG0003130	l_waltii_v3_group	N1
rna1508	OG0003132	l_waltii_v3_group	N1
rna5415	OG0003137	l_waltii_v3_group	N1
rna4778	OG0003138	l_waltii_v3_group	N1
rna4776	OG0003139	l_waltii_v3_group	N1
rna4341	OG0003140	l_waltii_v3_group	N1
rna4343	OG0003141	l_waltii_v3_group	N1
rna4344	OG0003142	l_waltii_v3_group	N1
rna4350	OG0003143	l_waltii_v3_group	N1
rna4351	OG0003145	l_waltii_v3_group	N1
rna4764	OG0003146	l_waltii_v3_group	N1
rna3676	OG0003148	l_waltii_v3_group	N1
rna3670	OG0003149	l_waltii_v3_group	N1
rna4283	OG0003152	l_waltii_v3_group	N1
rna4282	OG0003153	l_waltii_v3_group	N1
rna5890	OG0003154	l_waltii_v3_group	N1
rna241	OG0003155	l_waltii_v3_group	N1
rna5336	OG0003156	l_waltii_v3_group	N1
rna2282	OG0003158	l_waltii_v3_group	N1
rna2535	OG0003161	l_waltii_v3_group	N1
rna3790	OG0003163	l_waltii_v3_group	N1
rna606	OG0003167	l_waltii_v3_group	N1
rna1893	OG0003168	l_waltii_v3_group	N1
rna5157	OG0003170	l_waltii_v3_group	N1
rna2021	OG0003172	l_waltii_v3_group	N1
rna3892	OG0003173	l_waltii_v3_group	N1
rna1826	OG0003175	l_waltii_v3_group	N1
rna3896	OG0003176	l_waltii_v3_group	N1
rna3897	OG0003177	l_waltii_v3_group	N1
rna3902	OG0003178	l_waltii_v3_group	N1
rna3905	OG0003179	l_waltii_v3_group	N1
rna3907	OG0003180	l_waltii_v3_group	N1
rna5938	OG0003181	l_waltii_v3_group	N1
rna5934	OG0003182	l_waltii_v3_group	N1
rna5933	OG0003183	l_waltii_v3_group	N1
rna3187	OG0003184	l_waltii_v3_group	N1
rna509	OG0003185	l_waltii_v3_group	N1
rna5969	OG0003186	l_waltii_v3_group	N1
rna5635	OG0003187	l_waltii_v3_group	N1
rna5636	OG0003188	l_waltii_v3_group	N1
rna5959	OG0003189	l_waltii_v3_group	N1
rna5644	OG0003190	l_waltii_v3_group	N1
rna5652	OG0003191	l_waltii_v3_group	N1
rna1854	OG0003192	l_waltii_v3_group	N1
rna1853	OG0003193	l_waltii_v3_group	N1
rna2725	OG0003194	l_waltii_v3_group	N1
rna4987	OG0003195	l_waltii_v3_group	N1
rna2726	OG0003196	l_waltii_v3_group	N1
rna4986	OG0003197	l_waltii_v3_group	N1
rna4985	OG0003198	l_waltii_v3_group	N1
